colocation_id,person_a,person_b,location_id,area,city,observed_on,time_gap_minutes,source_type,confidence
COL000001,P000651,P000845,LOC000108,Thalassery,Kannur,2023-05-02,68,TOWER_DUMP,0.71
COL000002,P000656,P000228,LOC000045,Hatia,Ranchi,2023-02-14,106,TOWER_DUMP,0.74
COL000003,P000449,P000533,LOC000013,Cidco,Aurangabad,2018-12-20,67,TOWER_DUMP,0.69
COL000004,P000247,P000535,LOC000091,Nandyal,Kurnool,2023-05-10,166,TOWER_DUMP,0.51
COL000005,P000725,P000294,LOC000015,Chandni Chowk,New Delhi,2021-01-28,144,TOWER_DUMP,0.83
COL000006,P000778,P000070,LOC000070,Chohtan,Barmer,2022-12-11,9,TOWER_DUMP,0.77
COL000007,P000813,P000088,LOC000115,Sutarkandi,Karimganj,2024-08-04,9,TOWER_DUMP,0.82
COL000008,P000064,P000782,LOC000040,Barauni,Begusarai,2024-02-16,72,TOWER_DUMP,0.53
COL000009,P000844,P000343,LOC000087,Bodhan,Nizamabad,2019-11-11,13,TOWER_DUMP,0.52
COL000010,P000497,P000368,LOC000102,Afzalpur,Kalaburagi,2019-12-13,82,TOWER_DUMP,0.8
COL000011,P000470,P000185,LOC000005,Andheri,Mumbai,2019-03-16,152,TOWER_DUMP,0.48
COL000012,P000344,P000789,LOC000081,Mehgaon,Bhind,2022-07-25,155,TOWER_DUMP,0.54
COL000013,P000581,P000041,LOC000120,Maisuma,Srinagar,2025-09-04,102,TOWER_DUMP,0.73
COL000014,P000818,P000225,LOC000118,Anjuna,North Goa,2022-04-25,24,TOWER_DUMP,0.57
COL000015,P000794,P000545,LOC000037,Mithanpura,Muzaffarpur,2018-03-22,76,TOWER_DUMP,0.64
COL000016,P000313,P000765,LOC000112,Berhampur,Ganjam,2020-04-23,138,TOWER_DUMP,0.77
COL000017,P000136,P000650,LOC000035,Kadamkuan,Patna,2018-08-07,14,TOWER_DUMP,0.7
COL000018,P000404,P000156,LOC000102,Afzalpur,Kalaburagi,2022-04-26,78,TOWER_DUMP,0.84
COL000019,P000770,P000438,LOC000037,Mithanpura,Muzaffarpur,2026-03-29,97,TOWER_DUMP,0.78
COL000020,P000738,P000847,LOC000047,Metiabruz,Kolkata,2022-04-16,58,TOWER_DUMP,0.45
COL000021,P000269,P000825,LOC000039,Mahadeva,Siwan,2023-08-15,179,TOWER_DUMP,0.51
COL000022,P000775,P000328,LOC000006,Malad,Mumbai,2022-10-19,67,TOWER_DUMP,0.56
COL000023,P000235,P000773,LOC000013,Cidco,Aurangabad,2024-06-30,58,TOWER_DUMP,0.46
COL000024,P000787,P000816,LOC000106,Nadakkavu,Kozhikode,2024-11-18,102,TOWER_DUMP,0.48
COL000025,P000512,P000469,LOC000073,Mundra,Kutch,2019-01-10,154,TOWER_DUMP,0.52
COL000026,P000367,P000290,LOC000107,Chavakkad,Thrissur,2022-11-23,169,TOWER_DUMP,0.7
COL000027,P000843,P000338,LOC000101,Ullal,Mangaluru,2019-08-14,74,TOWER_DUMP,0.49
COL000028,P000440,P000848,LOC000087,Bodhan,Nizamabad,2020-03-24,8,TOWER_DUMP,0.78
COL000029,P000465,P000558,LOC000046,Bengabad,Giridih,2022-10-13,105,TOWER_DUMP,0.74
COL000030,P000346,P000523,LOC000074,Kutiyana,Porbandar,2022-10-01,92,TOWER_DUMP,0.71
COL000031,P000002,P000704,LOC000118,Anjuna,North Goa,2024-06-03,119,TOWER_DUMP,0.56
