incident_id,vehicle_id,registration_no,involvement
INC000001,VEH000177,UP80 LI 3175,USED_IN_OFFENCE
INC000006,VEH000315,KL13 NH 5352,SEEN_AT_SCENE
INC000013,VEH000258,JH20 HF 1926,SEIZED
INC000015,VEH000241,JH01 MG 8880,SEEN_AT_SCENE
INC000018,VEH000148,DL10 VT 1742,TRANSPORT
INC000020,VEH000192,AS01 QD 8059,SEIZED
INC000026,VEH000230,AS01 UK 5474,SEEN_AT_SCENE
INC000027,VEH000118,MH04 YF 2081,USED_IN_OFFENCE
INC000033,VEH000194,AS01 QP 9999,SEEN_AT_SCENE
INC000037,VEH000297,CG10 KH 5332,SEIZED
INC000041,VEH000131,KA19 DF 0885,TRANSPORT
INC000042,VEH000246,GJ18 RL 8652,SEIZED
INC000044,VEH000279,DL09 LB 8849,TRANSPORT
INC000045,VEH000337,RJ07 AJ 6980,SEEN_AT_SCENE
INC000046,VEH000161,JH13 YC 6269,SEIZED
INC000050,VEH000321,AP39 IQ 7171,USED_IN_OFFENCE
INC000052,VEH000180,RJ14 SG 8394,USED_IN_OFFENCE
INC000053,VEH000093,HR20 SC 9571,SEEN_AT_SCENE
INC000055,VEH000291,WB73 YS 4342,SEIZED
INC000056,VEH000322,AP07 YS 9262,SEIZED
INC000058,VEH000290,MP09 XE 5142,SEIZED
INC000059,VEH000208,CG07 VI 7965,SEEN_AT_SCENE
INC000065,VEH000228,OD05 PD 4471,SEEN_AT_SCENE
INC000067,VEH000320,UP14 BE 3159,TRANSPORT
INC000069,VEH000248,DL10 DM 8509,USED_IN_OFFENCE
INC000073,VEH000328,GA01 GC 0216,SEEN_AT_SCENE
INC000079,VEH000130,KA32 XF 6810,USED_IN_OFFENCE
INC000081,VEH000162,MH31 GB 6344,TRANSPORT
INC000085,VEH000316,OD07 QA 8174,SEEN_AT_SCENE
INC000087,VEH000047,HR20 KC 6380,USED_IN_OFFENCE
INC000092,VEH000309,MN01 IP 5198,SEIZED
INC000093,VEH000334,KA05 OQ 4257,SEEN_AT_SCENE
INC000096,VEH000282,HR26 WA 4574,SEIZED
INC000099,VEH000330,TN45 CO 2506,SEEN_AT_SCENE
INC000100,VEH000022,KA05 LD 1651,TRANSPORT
INC000101,VEH000136,TN67 PG 5290,SEEN_AT_SCENE
INC000102,VEH000069,UP16 WD 2015,SEIZED
INC000103,VEH000135,KA03 HS 0695,SEEN_AT_SCENE
INC000104,VEH000058,RJ02 BV 4789,USED_IN_OFFENCE
INC000106,VEH000285,MP13 RE 7344,USED_IN_OFFENCE
INC000111,VEH000156,MH47 XD 1059,SEEN_AT_SCENE
INC000127,VEH000126,MP13 JO 2390,USED_IN_OFFENCE
INC000134,VEH000228,OD05 PD 4471,SEIZED
INC000135,VEH000307,CG10 DN 8164,TRANSPORT
INC000136,VEH000013,MH01 OJ 3906,USED_IN_OFFENCE
INC000139,VEH000116,TS10 PT 9851,TRANSPORT
INC000143,VEH000086,JH01 XI 0397,USED_IN_OFFENCE
INC000151,VEH000105,TS07 LD 6695,TRANSPORT
INC000154,VEH000103,TS16 EY 6500,TRANSPORT
INC000157,VEH000291,WB73 YS 4342,USED_IN_OFFENCE
INC000163,VEH000180,RJ14 SG 8394,USED_IN_OFFENCE
INC000164,VEH000102,WB02 KK 4402,TRANSPORT
INC000165,VEH000330,TN45 CO 2506,SEEN_AT_SCENE
INC000167,VEH000168,MH12 JK 4220,USED_IN_OFFENCE
INC000168,VEH000208,CG07 VI 7965,SEIZED
INC000172,VEH000282,HR26 WA 4574,USED_IN_OFFENCE
INC000176,VEH000173,HR20 RG 2408,SEIZED
INC000177,VEH000083,JH10 DN 2958,SEIZED
INC000179,VEH000038,DL10 FP 5622,USED_IN_OFFENCE
INC000181,VEH000191,UP14 IG 7040,SEIZED
INC000183,VEH000150,HR10 AG 6353,SEIZED
INC000189,VEH000249,DL01 RO 8981,USED_IN_OFFENCE
INC000190,VEH000002,DL08 NV 5716,USED_IN_OFFENCE
INC000192,VEH000090,WB20 TH 4158,SEIZED
INC000196,VEH000217,AP21 KK 6251,SEEN_AT_SCENE
INC000197,VEH000098,KA05 VA 0230,SEEN_AT_SCENE
INC000199,VEH000244,TS16 VO 8626,SEIZED
INC000202,VEH000083,JH10 DN 2958,USED_IN_OFFENCE
INC000203,VEH000223,AP21 QA 3874,SEEN_AT_SCENE
INC000211,VEH000133,KA01 VZ 5105,TRANSPORT
INC000213,VEH000183,HR10 TF 7257,TRANSPORT
INC000225,VEH000197,UP14 ID 7357,USED_IN_OFFENCE
INC000228,VEH000174,RJ19 AT 5124,USED_IN_OFFENCE
INC000231,VEH000270,MH20 BD 3701,TRANSPORT
INC000233,VEH000016,MH03 AB 8057,SEIZED
INC000234,VEH000301,TN01 BF 5303,SEEN_AT_SCENE
INC000237,VEH000025,MH14 HU 3584,TRANSPORT
INC000242,VEH000336,MN01 VN 4056,SEEN_AT_SCENE
INC000245,VEH000041,PB46 EM 2775,SEIZED
INC000247,VEH000181,BR06 HJ 2253,SEEN_AT_SCENE
INC000254,VEH000310,HR20 GI 2299,SEEN_AT_SCENE
INC000255,VEH000267,UP50 UP 2916,TRANSPORT
INC000268,VEH000299,GA03 LR 6395,USED_IN_OFFENCE
INC000278,VEH000108,MH12 ID 5136,SEEN_AT_SCENE
INC000282,VEH000089,UP15 DW 8288,TRANSPORT
INC000283,VEH000004,MH47 PK 9809,SEEN_AT_SCENE
INC000286,VEH000328,GA01 GC 0216,USED_IN_OFFENCE
INC000287,VEH000041,PB46 EM 2775,USED_IN_OFFENCE
INC000291,VEH000237,JH01 DB 4214,SEIZED
INC000293,VEH000202,AP07 CG 7544,SEEN_AT_SCENE
INC000294,VEH000320,UP14 BE 3159,SEIZED
INC000296,VEH000109,MH20 DV 2927,TRANSPORT
INC000304,VEH000286,TN10 VP 8268,SEEN_AT_SCENE
INC000310,VEH000230,AS01 UK 5474,TRANSPORT
INC000314,VEH000003,KA19 IX 6126,TRANSPORT
INC000315,VEH000137,RJ05 VT 9140,TRANSPORT
INC000318,VEH000014,GJ01 SR 0518,SEEN_AT_SCENE
INC000321,VEH000290,MP09 XE 5142,SEIZED
INC000324,VEH000046,PB10 UJ 5454,USED_IN_OFFENCE
INC000328,VEH000104,TS07 MP 3833,USED_IN_OFFENCE
INC000330,VEH000328,GA01 GC 0216,SEEN_AT_SCENE
INC000333,VEH000203,TN37 BC 8276,USED_IN_OFFENCE
INC000334,VEH000286,TN10 VP 8268,USED_IN_OFFENCE
INC000339,VEH000176,PB11 WY 2737,TRANSPORT
INC000341,VEH000165,UP80 NT 8826,TRANSPORT
INC000342,VEH000330,TN45 CO 2506,SEIZED
INC000343,VEH000284,DL01 AK 5734,SEIZED
INC000345,VEH000163,BR28 JR 7112,SEIZED
INC000348,VEH000266,UP80 GS 4291,SEEN_AT_SCENE
INC000350,VEH000114,TS09 VE 0896,SEIZED
INC000351,VEH000066,DL02 NV 5498,TRANSPORT
INC000355,VEH000278,MH04 TI 1479,TRANSPORT
INC000360,VEH000165,UP80 NT 8826,SEEN_AT_SCENE
INC000366,VEH000124,BR01 DD 9235,SEIZED
INC000367,VEH000311,UP50 AQ 9704,SEEN_AT_SCENE
INC000368,VEH000254,KA05 KZ 8802,TRANSPORT
INC000369,VEH000176,PB11 WY 2737,SEIZED
INC000370,VEH000336,MN01 VN 4056,SEIZED
INC000374,VEH000040,RJ27 DG 7437,SEEN_AT_SCENE
INC000377,VEH000133,KA01 VZ 5105,SEIZED
INC000378,VEH000067,DL03 HX 6160,USED_IN_OFFENCE
INC000388,VEH000016,MH03 AB 8057,USED_IN_OFFENCE
INC000389,VEH000085,KA41 FR 1595,USED_IN_OFFENCE
INC000398,VEH000191,UP14 IG 7040,TRANSPORT
INC000409,VEH000177,UP80 LI 3175,USED_IN_OFFENCE
INC000411,VEH000331,MH01 AN 8948,TRANSPORT
INC000414,VEH000005,GJ01 FJ 9235,TRANSPORT
INC000418,VEH000010,KA05 YD 4775,SEIZED
INC000420,VEH000102,WB02 KK 4402,SEEN_AT_SCENE
INC000421,VEH000044,DL03 HF 7234,TRANSPORT
INC000425,VEH000189,WB02 QO 2739,SEEN_AT_SCENE
INC000426,VEH000183,HR10 TF 7257,SEEN_AT_SCENE
INC000429,VEH000198,DL10 GZ 2469,USED_IN_OFFENCE
INC000431,VEH000214,TN09 UL 4493,TRANSPORT
INC000441,VEH000074,WB57 FY 6310,TRANSPORT
INC000442,VEH000085,KA41 FR 1595,TRANSPORT
INC000444,VEH000338,JK01 RO 8928,TRANSPORT
INC000445,VEH000256,TS16 LG 4051,TRANSPORT
INC000452,VEH000316,OD07 QA 8174,USED_IN_OFFENCE
INC000454,VEH000124,BR01 DD 9235,SEEN_AT_SCENE
INC000455,VEH000191,UP14 IG 7040,SEEN_AT_SCENE
INC000457,VEH000007,GJ05 FD 6656,SEEN_AT_SCENE
INC000459,VEH000192,AS01 QD 8059,USED_IN_OFFENCE
INC000460,VEH000034,PB65 CF 6454,TRANSPORT
INC000462,VEH000097,JH01 TR 1660,USED_IN_OFFENCE
INC000464,VEH000265,BR11 CI 8528,TRANSPORT
INC000466,VEH000290,MP09 XE 5142,SEEN_AT_SCENE
INC000472,VEH000271,PB08 FM 2542,SEIZED
INC000479,VEH000224,AP39 KY 5712,SEIZED
INC000484,VEH000075,KA19 EP 3801,SEIZED
INC000485,VEH000035,HR55 JQ 2414,TRANSPORT
INC000487,VEH000021,GJ01 PG 2842,SEIZED
INC000490,VEH000251,DL08 UQ 6883,TRANSPORT
INC000493,VEH000236,WB20 HC 4618,SEIZED
INC000499,VEH000057,RJ07 BU 4606,SEIZED
INC000500,VEH000045,RJ27 SL 0488,USED_IN_OFFENCE
INC000502,VEH000115,KL11 EX 5756,USED_IN_OFFENCE
INC000504,VEH000232,OD02 ZX 3743,USED_IN_OFFENCE
