person_id,account_id,relation,from_date,to_date
P000001,AC000001,HOLDER,2021-04-08,
P000001,AC000002,HOLDER,2026-06-16,
P000001,AC000003,HOLDER,2023-04-06,
P000002,AC000004,HOLDER,2020-09-22,
P000002,AC000005,HOLDER,2025-10-07,
P000003,AC000006,HOLDER,2017-01-22,
P000003,AC000007,HOLDER,2016-09-06,
P000003,AC000008,HOLDER,2019-05-25,
P000004,AC000009,HOLDER,2022-10-26,
P000004,AC000010,HOLDER,2017-06-26,
P000005,AC000011,HOLDER,2017-12-18,
P000006,AC000012,HOLDER,2014-06-12,
P000006,AC000013,HOLDER,2017-10-30,
P000007,AC000014,HOLDER,2020-08-30,
P000008,AC000015,HOLDER,2013-10-19,
P000009,AC000016,HOLDER,2017-02-23,
P000009,AC000017,HOLDER,2014-12-19,
P000010,AC000018,HOLDER,2021-11-26,
P000010,AC000019,HOLDER,2022-03-14,
P000011,AC000020,HOLDER,2022-04-04,
P000012,AC000021,HOLDER,2022-08-19,
P000012,AC000022,HOLDER,2023-10-14,
P000013,AC000023,HOLDER,2017-05-04,
P000013,AC000024,HOLDER,2020-07-14,
P000014,AC000025,HOLDER,2022-08-07,
P000015,AC000026,HOLDER,2024-09-18,
P000015,AC000027,HOLDER,2018-09-27,
P000016,AC000028,HOLDER,2023-09-19,
P000016,AC000029,HOLDER,2026-06-10,
P000017,AC000030,HOLDER,2019-07-04,
P000018,AC000031,HOLDER,2025-01-30,
P000019,AC000032,HOLDER,2023-08-13,
P000019,AC000033,HOLDER,2014-11-26,
P000020,AC000034,HOLDER,2025-09-23,
P000021,AC000035,HOLDER,2016-10-15,
P000022,AC000036,HOLDER,2025-11-27,
P000022,AC000037,HOLDER,2018-12-04,
P000023,AC000038,HOLDER,2023-07-05,
P000024,AC000039,HOLDER,2024-04-26,
P000024,AC000040,HOLDER,2023-09-14,
P000024,AC000041,HOLDER,2014-08-04,
P000025,AC000042,HOLDER,2025-04-14,
P000026,AC000043,HOLDER,2018-06-25,
P000026,AC000044,HOLDER,2015-07-27,
P000026,AC000045,HOLDER,2016-03-09,
P000027,AC000046,HOLDER,2020-04-26,
P000028,AC000047,HOLDER,2022-07-29,
P000028,AC000048,HOLDER,2015-09-12,
P000028,AC000049,HOLDER,2019-02-12,
P000028,AC000050,HOLDER,2026-03-01,
P000028,AC000051,HOLDER,2024-11-08,
P000029,AC000052,HOLDER,2024-02-18,
P000029,AC000053,HOLDER,2016-01-01,
P000029,AC000054,HOLDER,2021-11-13,
