person_id,location_id,association,observed_on,source_type,confidence
P000520,LOC000040,PRESENT_AT_INCIDENT,2026-05-13,FIR,0.79
P000525,LOC000040,PRESENT_AT_INCIDENT,2026-05-13,FIR,0.88
P000535,LOC000040,PRESENT_AT_INCIDENT,2026-05-13,FIR,0.72
P000299,LOC000093,PRESENT_AT_INCIDENT,2023-06-25,FIR,0.69
P000305,LOC000093,PRESENT_AT_INCIDENT,2023-06-25,FIR,0.77
P000589,LOC000040,PRESENT_AT_INCIDENT,2026-02-28,FIR,0.67
P000446,LOC000019,PRESENT_AT_INCIDENT,2023-02-26,FIR,0.85
P000461,LOC000019,PRESENT_AT_INCIDENT,2023-02-26,FIR,0.7
P000509,LOC000001,PRESENT_AT_INCIDENT,2025-04-07,FIR,0.78
P000515,LOC000001,PRESENT_AT_INCIDENT,2025-04-07,FIR,0.63
P000473,LOC000001,PRESENT_AT_INCIDENT,2025-04-07,FIR,0.9
P000482,LOC000001,PRESENT_AT_INCIDENT,2025-04-07,FIR,0.81
P000477,LOC000001,PRESENT_AT_INCIDENT,2025-04-07,FIR,0.69
P000884,LOC000016,PRESENT_AT_INCIDENT,2022-12-07,FIR,0.88
P000924,LOC000016,PRESENT_AT_INCIDENT,2022-12-07,FIR,0.84
P000972,LOC000016,PRESENT_AT_INCIDENT,2022-12-07,FIR,0.72
P000494,LOC000035,PRESENT_AT_INCIDENT,2025-06-25,FIR,0.83
P000497,LOC000035,PRESENT_AT_INCIDENT,2025-06-25,FIR,0.74
P000493,LOC000035,PRESENT_AT_INCIDENT,2025-06-25,FIR,0.76
P000523,LOC000055,PRESENT_AT_INCIDENT,2023-06-11,FIR,0.79
P000554,LOC000055,PRESENT_AT_INCIDENT,2023-06-11,FIR,0.73
P000534,LOC000055,PRESENT_AT_INCIDENT,2023-06-11,FIR,0.64
P000546,LOC000055,PRESENT_AT_INCIDENT,2023-06-11,FIR,0.91
P000569,LOC000055,PRESENT_AT_INCIDENT,2023-06-11,FIR,0.62
P000917,LOC000102,PRESENT_AT_INCIDENT,2025-04-09,FIR,0.93
P000949,LOC000102,PRESENT_AT_INCIDENT,2025-04-09,FIR,0.95
P000360,LOC000096,PRESENT_AT_INCIDENT,2019-10-24,FIR,0.72
P000389,LOC000096,PRESENT_AT_INCIDENT,2019-10-24,FIR,0.93
P000369,LOC000096,PRESENT_AT_INCIDENT,2019-10-24,FIR,0.73
P000416,LOC000096,PRESENT_AT_INCIDENT,2019-10-24,FIR,0.78
P000385,LOC000029,PRESENT_AT_INCIDENT,2025-04-09,FIR,0.83
P000366,LOC000029,PRESENT_AT_INCIDENT,2025-04-09,FIR,0.71
P000399,LOC000029,PRESENT_AT_INCIDENT,2025-04-09,FIR,0.68
P000406,LOC000029,PRESENT_AT_INCIDENT,2025-04-09,FIR,0.91
P000882,LOC000075,PRESENT_AT_INCIDENT,2025-09-26,FIR,0.71
P000918,LOC000075,PRESENT_AT_INCIDENT,2025-09-26,FIR,0.81
P000765,LOC000050,PRESENT_AT_INCIDENT,2026-03-02,FIR,0.85
P000770,LOC000050,PRESENT_AT_INCIDENT,2026-03-02,FIR,0.82
P000594,LOC000115,PRESENT_AT_INCIDENT,2025-09-05,FIR,0.66
P000585,LOC000115,PRESENT_AT_INCIDENT,2025-09-05,FIR,0.8
P000584,LOC000115,PRESENT_AT_INCIDENT,2025-09-05,FIR,0.89
P000999,LOC000041,PRESENT_AT_INCIDENT,2024-10-02,FIR,0.92
P000971,LOC000041,PRESENT_AT_INCIDENT,2024-10-02,FIR,0.62
P000764,LOC000046,PRESENT_AT_INCIDENT,2024-01-22,FIR,0.77
P000794,LOC000046,PRESENT_AT_INCIDENT,2024-01-22,FIR,0.79
P000785,LOC000046,PRESENT_AT_INCIDENT,2024-01-22,FIR,0.82
P000641,LOC000011,PRESENT_AT_INCIDENT,2025-11-25,FIR,0.82
P000643,LOC000011,PRESENT_AT_INCIDENT,2025-11-25,FIR,0.85
P000661,LOC000011,PRESENT_AT_INCIDENT,2025-11-25,FIR,0.65
P000454,LOC000061,PRESENT_AT_INCIDENT,2023-07-12,FIR,0.83
P000449,LOC000061,PRESENT_AT_INCIDENT,2023-07-12,FIR,0.78
P000422,LOC000061,PRESENT_AT_INCIDENT,2023-07-12,FIR,0.73
P000430,LOC000061,PRESENT_AT_INCIDENT,2023-07-12,FIR,0.76
P000584,LOC000113,PRESENT_AT_INCIDENT,2024-01-11,FIR,0.92
P000577,LOC000113,PRESENT_AT_INCIDENT,2024-01-11,FIR,0.76
P000597,LOC000113,PRESENT_AT_INCIDENT,2024-01-11,FIR,0.8
P000145,LOC000067,PRESENT_AT_INCIDENT,2020-03-28,FIR,0.68
P000304,LOC000076,PRESENT_AT_INCIDENT,2024-12-01,FIR,0.66
