person_id,org_id,role_in_org,from_date,to_date,is_benami
P000081,ORG000016,Authorised Signatory,2011-07-19,,1
P000037,ORG000016,Nominee Director,2011-07-19,,1
P000051,ORG000017,Beneficial Owner,2017-07-25,,0
P000090,ORG000017,Nominee Director,2017-07-25,,1
P000086,ORG000018,Proprietor,2018-11-22,,0
P000065,ORG000018,Nominee Director,2018-11-22,,1
P000028,ORG000019,Beneficial Owner,2024-06-05,,0
P000011,ORG000019,Employee,2024-06-05,,0
P000086,ORG000020,Proprietor,2020-11-09,,0
P000015,ORG000021,Authorised Signatory,2022-04-09,,0
P000091,ORG000022,Proprietor,2012-02-18,,0
P000020,ORG000023,Authorised Signatory,2021-07-04,,1
P000055,ORG000023,Nominee Director,2021-07-04,,1
P000006,ORG000023,Employee,2021-07-04,,1
P000144,ORG000024,Proprietor,2018-06-01,,0
P000118,ORG000024,Nominee Director,2018-06-01,,0
P000109,ORG000024,Employee,2018-06-01,,0
P000100,ORG000025,Beneficial Owner,2018-12-13,,1
P000146,ORG000025,Director,2018-12-13,,0
P000130,ORG000026,Beneficial Owner,2016-10-13,,1
P000145,ORG000026,Director,2016-10-13,,1
P000107,ORG000026,Nominee Director,2016-10-13,,1
P000112,ORG000027,Proprietor,2012-08-31,,0
P000165,ORG000027,Employee,2012-08-31,,0
P000130,ORG000028,Proprietor,2015-08-08,,1
P000117,ORG000029,Director,2020-08-14,,1
P000144,ORG000029,Nominee Director,2020-08-14,,0
P000128,ORG000030,Beneficial Owner,2016-08-15,,0
P000127,ORG000031,Authorised Signatory,2021-09-15,,0
P000172,ORG000031,Nominee Director,2021-09-15,,1
P000281,ORG000032,Director,2016-01-10,,1
P000190,ORG000033,Authorised Signatory,2026-06-27,,1
P000240,ORG000033,Director,2026-06-27,,1
P000263,ORG000033,Director,2026-06-27,,0
P000268,ORG000034,Director,2015-08-22,,1
P000243,ORG000035,Beneficial Owner,2016-04-13,,0
P000184,ORG000035,Director,2016-04-13,,1
P000258,ORG000035,Employee,2016-04-13,,0
P000178,ORG000036,Beneficial Owner,2011-11-06,,0
P000181,ORG000037,Beneficial Owner,2018-07-23,,1
P000206,ORG000037,Employee,2018-07-23,,1
P000181,ORG000037,Employee,2018-07-23,,0
P000181,ORG000038,Proprietor,2023-04-23,,0
P000239,ORG000038,Nominee Director,2023-04-23,,0
P000205,ORG000038,Director,2023-04-23,,0
P000304,ORG000039,Beneficial Owner,2016-09-03,,0
P000307,ORG000039,Nominee Director,2016-09-03,,0
P000326,ORG000040,Beneficial Owner,2014-02-04,,0
P000314,ORG000040,Nominee Director,2014-02-04,,0
P000321,ORG000041,Beneficial Owner,2023-04-27,,1
P000294,ORG000041,Nominee Director,2023-04-27,,1
P000301,ORG000041,Employee,2023-04-27,,0
P000335,ORG000042,Director,2024-05-31,,0
P000301,ORG000042,Director,2024-05-31,,0
P000326,ORG000043,Director,2023-02-25,,0
P000314,ORG000044,Authorised Signatory,2020-01-15,,1
P000317,ORG000045,Director,2020-08-02,,0
P000290,ORG000045,Employee,2020-08-02,,0
P000334,ORG000045,Employee,2020-08-02,,1
P000314,ORG000046,Authorised Signatory,2021-04-06,,1
P000290,ORG000046,Employee,2021-04-06,,0
P000333,ORG000046,Nominee Director,2021-04-06,,0
P000359,ORG000047,Authorised Signatory,2013-04-11,,0
P000366,ORG000047,Employee,2013-04-11,,1
P000359,ORG000048,Authorised Signatory,2019-10-25,,0
P000368,ORG000049,Proprietor,2016-12-07,,0
P000389,ORG000049,Director,2016-12-07,,0
P000376,ORG000049,Nominee Director,2016-12-07,,1
P000359,ORG000050,Proprietor,2024-01-22,,1
P000372,ORG000051,Beneficial Owner,2024-03-25,,0
P000358,ORG000051,Employee,2024-03-25,,1
P000394,ORG000051,Nominee Director,2024-03-25,,1
P000397,ORG000052,Authorised Signatory,2026-05-24,,1
P000382,ORG000052,Director,2026-05-24,,0
P000411,ORG000052,Nominee Director,2026-05-24,,0
P000431,ORG000053,Beneficial Owner,2023-06-30,,0
P000429,ORG000053,Nominee Director,2023-06-30,,1
P000418,ORG000053,Director,2023-06-30,,1
P000466,ORG000054,Director,2022-08-04,,1
P000452,ORG000054,Director,2022-08-04,,0
P000431,ORG000055,Director,2021-03-24,,0
P000467,ORG000055,Nominee Director,2021-03-24,,0
P000469,ORG000055,Nominee Director,2021-03-24,,1
P000431,ORG000056,Proprietor,2019-03-05,,1
P000418,ORG000057,Proprietor,2017-02-16,,1
P000465,ORG000057,Employee,2017-02-16,,1
P000498,ORG000058,Beneficial Owner,2016-04-15,,0
P000491,ORG000058,Nominee Director,2016-04-15,,0
P000485,ORG000059,Director,2013-09-05,,0
P000499,ORG000059,Employee,2013-09-05,,0
P000497,ORG000060,Authorised Signatory,2011-12-27,,0
P000472,ORG000060,Nominee Director,2011-12-27,,1
P000510,ORG000060,Nominee Director,2011-12-27,,1
P000513,ORG000061,Beneficial Owner,2018-05-02,,0
P000496,ORG000061,Director,2018-05-02,,0
P000513,ORG000062,Director,2017-05-30,,1
P000518,ORG000062,Employee,2017-05-30,,0
P000498,ORG000063,Authorised Signatory,2021-07-24,,0
P000516,ORG000063,Nominee Director,2021-07-24,,1
P000504,ORG000063,Employee,2021-07-24,,0
P000562,ORG000064,Authorised Signatory,2025-10-07,,0
P000530,ORG000064,Nominee Director,2025-10-07,,1
P000545,ORG000064,Director,2025-10-07,,0
P000530,ORG000065,Director,2016-02-27,,0
P000530,ORG000065,Employee,2016-02-27,,1
P000569,ORG000066,Proprietor,2018-04-18,,1
P000554,ORG000067,Beneficial Owner,2020-10-28,,0
P000560,ORG000068,Beneficial Owner,2025-10-30,,1
P000530,ORG000068,Nominee Director,2025-10-30,,1
P000585,ORG000069,Beneficial Owner,2015-11-20,,0
P000585,ORG000070,Authorised Signatory,2016-08-18,,1
P000580,ORG000070,Nominee Director,2016-08-18,,1
P000572,ORG000071,Director,2026-02-16,,0
P000580,ORG000072,Authorised Signatory,2019-11-12,,1
P000591,ORG000073,Authorised Signatory,2021-05-01,,1
P000592,ORG000073,Director,2021-05-01,,0
P000574,ORG000073,Nominee Director,2021-05-01,,1
P000572,ORG000074,Director,2019-11-22,,0
P000586,ORG000074,Nominee Director,2019-11-22,,0
P000576,ORG000075,Beneficial Owner,2019-11-17,,1
P000584,ORG000075,Director,2019-11-17,,0
P000615,ORG000076,Director,2017-02-14,,0
P000655,ORG000077,Authorised Signatory,2018-12-01,,0
P000625,ORG000078,Director,2024-01-19,,1
P000655,ORG000078,Employee,2024-01-19,,0
P000621,ORG000078,Nominee Director,2024-01-19,,1
P000661,ORG000079,Authorised Signatory,2014-04-08,,0
P000646,ORG000080,Proprietor,2012-06-08,,1
P000615,ORG000080,Nominee Director,2012-06-08,,1
P000625,ORG000080,Director,2012-06-08,,1
P000633,ORG000081,Beneficial Owner,2016-07-13,,1
P000664,ORG000081,Employee,2016-07-13,,0
P000625,ORG000081,Employee,2016-07-13,,1
P000691,ORG000082,Director,2022-11-18,,1
P000707,ORG000082,Director,2022-11-18,,0
P000695,ORG000083,Director,2026-03-17,,1
P000695,ORG000084,Proprietor,2021-12-30,,0
P000670,ORG000084,Director,2021-12-30,,1
P000696,ORG000084,Employee,2021-12-30,,0
P000689,ORG000085,Authorised Signatory,2023-01-16,,0
P000684,ORG000085,Employee,2023-01-16,,0
P000683,ORG000086,Director,2021-09-11,,0
P000695,ORG000087,Beneficial Owner,2011-04-06,,1
P000695,ORG000088,Director,2020-07-19,,1
P000672,ORG000088,Director,2020-07-19,,1
P000693,ORG000088,Nominee Director,2020-07-19,,1
P000741,ORG000089,Proprietor,2014-09-02,,0
P000748,ORG000090,Beneficial Owner,2012-02-04,,1
P000748,ORG000090,Director,2012-02-04,,1
P000742,ORG000090,Director,2012-02-04,,1
P000729,ORG000091,Director,2021-07-18,,0
P000742,ORG000091,Nominee Director,2021-07-18,,1
P000737,ORG000092,Director,2026-01-12,,1
P000748,ORG000093,Proprietor,2018-03-12,,1
P000723,ORG000093,Nominee Director,2018-03-12,,0
P000719,ORG000093,Nominee Director,2018-03-12,,1
P000790,ORG000094,Director,2020-05-10,,1
P000785,ORG000094,Nominee Director,2020-05-10,,0
P000792,ORG000094,Employee,2020-05-10,,1
P000790,ORG000095,Beneficial Owner,2024-04-26,,0
P000797,ORG000096,Beneficial Owner,2026-05-08,,1
P000778,ORG000096,Nominee Director,2026-05-08,,0
P000767,ORG000096,Director,2026-05-08,,1
P000773,ORG000097,Beneficial Owner,2022-03-20,,1
P000770,ORG000097,Nominee Director,2022-03-20,,1
P000781,ORG000097,Director,2022-03-20,,1
P000792,ORG000098,Director,2012-04-19,,0
P000795,ORG000098,Nominee Director,2012-04-19,,1
P000774,ORG000098,Nominee Director,2012-04-19,,1
P000789,ORG000099,Proprietor,2024-05-11,,0
P000771,ORG000099,Nominee Director,2024-05-11,,0
P000843,ORG000100,Proprietor,2023-09-21,,0
P000805,ORG000100,Director,2023-09-21,,0
P000829,ORG000101,Director,2023-09-05,,0
P000830,ORG000102,Director,2012-06-23,,1
P000832,ORG000102,Employee,2012-06-23,,1
P000844,ORG000103,Beneficial Owner,2013-06-16,,1
P000812,ORG000103,Nominee Director,2013-06-16,,1
P000833,ORG000104,Director,2014-03-12,,1
P000820,ORG000104,Director,2014-03-12,,0
P000830,ORG000105,Beneficial Owner,2021-12-23,,1
P000833,ORG000105,Director,2021-12-23,,0
P000865,ORG000106,Director,2011-11-22,,1
P000866,ORG000107,Beneficial Owner,2020-11-04,,1
P000874,ORG000108,Proprietor,2023-11-01,,0
P000873,ORG000108,Employee,2023-11-01,,0
P000850,ORG000108,Director,2023-11-01,,1
P000001,ORG000001,MULE,,,0
P000002,ORG000001,FENCE,,,0
P000003,ORG000001,MULE,,,0
P000004,ORG000001,RECRUITER,,,0
P000005,ORG000001,FIELD_OPERATIVE,,,0
P000006,ORG000001,MULE,,,0
P000007,ORG000001,LOGISTICS,,,0
P000008,ORG000001,SHOOTER,,,0
P000009,ORG000001,MULE,,,0
P000010,ORG000001,FENCE,,,0
P000011,ORG000001,TECH_HANDLER,,,0
P000012,ORG000001,LIEUTENANT,,,0
P000013,ORG000001,LIEUTENANT,,,0
P000014,ORG000001,COURIER,,,0
P000015,ORG000001,LIEUTENANT,,,0
P000016,ORG000001,FIELD_OPERATIVE,,,0
P000017,ORG000001,FIELD_OPERATIVE,,,0
P000018,ORG000001,LIEUTENANT,,,0
P000019,ORG000001,MULE,,,0
P000020,ORG000001,FIXER,,,0
P000021,ORG000001,LOGISTICS,,,0
P000022,ORG000001,FENCE,,,0
P000023,ORG000001,FIELD_OPERATIVE,,,0
P000024,ORG000001,MULE,,,0
P000025,ORG000001,MULE,,,0
P000026,ORG000001,MULE,,,0
P000027,ORG000001,FIELD_OPERATIVE,,,0
P000028,ORG000001,FINANCIER,,,0
P000029,ORG000001,FINANCIER,,,0
P000030,ORG000001,SHOOTER,,,0
P000031,ORG000001,FIELD_OPERATIVE,,,0
P000032,ORG000001,LOGISTICS,,,0
P000033,ORG000001,MULE,,,0
P000034,ORG000001,FIELD_OPERATIVE,,,0
P000035,ORG000001,KINGPIN,,,0
P000036,ORG000001,MULE,,,0
P000037,ORG000001,FIELD_OPERATIVE,,,0
P000038,ORG000001,MULE,,,0
P000039,ORG000001,MULE,,,0
P000040,ORG000001,FINANCIER,,,0
P000041,ORG000001,RECRUITER,,,0
P000042,ORG000001,LOGISTICS,,,0
P000043,ORG000001,FIELD_OPERATIVE,,,0
P000044,ORG000001,SHOOTER,,,0
P000045,ORG000001,COURIER,,,0
P000046,ORG000001,FIELD_OPERATIVE,,,0
P000047,ORG000001,MULE,,,0
P000048,ORG000001,FIELD_OPERATIVE,,,0
P000049,ORG000001,MULE,,,0
P000050,ORG000001,FIELD_OPERATIVE,,,0
P000051,ORG000001,FINANCIER,,,0
P000052,ORG000001,FINANCIER,,,0
P000053,ORG000001,FIELD_OPERATIVE,,,0
P000054,ORG000001,FIELD_OPERATIVE,,,0
P000055,ORG000001,SHOOTER,,,0
P000056,ORG000001,FINANCIER,,,0
P000057,ORG000001,FIELD_OPERATIVE,,,0
P000058,ORG000001,FIELD_OPERATIVE,,,0
P000059,ORG000001,MULE,,,0
P000060,ORG000001,FIXER,,,0
P000061,ORG000001,FIELD_OPERATIVE,,,0
P000062,ORG000001,FIELD_OPERATIVE,,,0
P000063,ORG000001,LOGISTICS,,,0
P000064,ORG000001,RECRUITER,,,0
P000065,ORG000001,MULE,,,0
P000066,ORG000001,LOGISTICS,,,0
P000067,ORG000001,MULE,,,0
P000068,ORG000001,COURIER,,,0
P000069,ORG000001,FIXER,,,0
P000070,ORG000001,LOGISTICS,,,0
P000071,ORG000001,MULE,,,0
P000072,ORG000001,MULE,,,0
P000073,ORG000001,COURIER,,,0
P000074,ORG000001,INFORMANT,,,0
P000075,ORG000001,FIXER,,,0
P000076,ORG000001,FIELD_OPERATIVE,,,0
P000077,ORG000001,COURIER,,,0
P000078,ORG000001,INFORMANT,,,0
P000079,ORG000001,FIELD_OPERATIVE,,,0
P000080,ORG000001,FINANCIER,,,0
P000081,ORG000001,KINGPIN,,,0
P000082,ORG000001,HAWALA_OPERATOR,,,0
P000083,ORG000001,FIELD_OPERATIVE,,,0
P000084,ORG000001,RECRUITER,,,0
P000085,ORG000001,FIELD_OPERATIVE,,,0
P000086,ORG000001,FIXER,,,0
P000087,ORG000001,LOGISTICS,,,0
P000088,ORG000001,SHOOTER,,,0
P000089,ORG000001,FIELD_OPERATIVE,,,0
P000090,ORG000001,FIELD_OPERATIVE,,,0
P000091,ORG000001,LIEUTENANT,,,0
P000092,ORG000001,MULE,,,0
P000093,ORG000002,COURIER,,,0
P000094,ORG000002,COURIER,,,0
P000095,ORG000002,SHOOTER,,,0
P000096,ORG000002,MULE,,,0
P000097,ORG000002,HAWALA_OPERATOR,,,0
P000098,ORG000002,INFORMANT,,,0
P000099,ORG000002,COURIER,,,0
P000100,ORG000002,FINANCIER,,,0
P000101,ORG000002,LOGISTICS,,,0
P000102,ORG000002,FIELD_OPERATIVE,,,0
P000103,ORG000002,RECRUITER,,,0
P000104,ORG000002,RECRUITER,,,0
P000105,ORG000002,INFORMANT,,,0
P000106,ORG000002,FIELD_OPERATIVE,,,0
P000107,ORG000002,TECH_HANDLER,,,0
P000108,ORG000002,LOGISTICS,,,0
P000109,ORG000002,FIELD_OPERATIVE,,,0
P000110,ORG000002,TECH_HANDLER,,,0
P000111,ORG000002,MULE,,,0
P000112,ORG000002,FIXER,,,0
P000113,ORG000002,FIELD_OPERATIVE,,,0
P000114,ORG000002,LOGISTICS,,,0
P000115,ORG000002,COURIER,,,0
P000116,ORG000002,FIXER,,,0
P000117,ORG000002,HAWALA_OPERATOR,,,0
P000118,ORG000002,FIELD_OPERATIVE,,,0
P000119,ORG000002,COURIER,,,0
P000120,ORG000002,LOGISTICS,,,0
P000121,ORG000002,LIEUTENANT,,,0
P000122,ORG000002,FIELD_OPERATIVE,,,0
P000123,ORG000002,RECRUITER,,,0
P000124,ORG000002,MULE,,,0
P000125,ORG000002,SHOOTER,,,0
P000126,ORG000002,LOGISTICS,,,0
P000127,ORG000002,LIEUTENANT,,,0
P000128,ORG000002,LIEUTENANT,,,0
P000129,ORG000002,FINANCIER,,,0
P000130,ORG000002,FIXER,,,0
P000131,ORG000002,MULE,,,0
P000132,ORG000002,SHOOTER,,,0
P000133,ORG000002,LOGISTICS,,,0
P000134,ORG000002,SHOOTER,,,0
P000135,ORG000002,COURIER,,,0
P000136,ORG000002,FIELD_OPERATIVE,,,0
P000137,ORG000002,COURIER,,,0
P000138,ORG000002,FIELD_OPERATIVE,,,0
P000139,ORG000002,FIELD_OPERATIVE,,,0
P000140,ORG000002,KINGPIN,,,0
P000141,ORG000002,CORRUPT_OFFICIAL,,,0
P000142,ORG000002,COURIER,,,0
P000143,ORG000002,FIELD_OPERATIVE,,,0
P000144,ORG000002,FIXER,,,0
P000145,ORG000002,RECRUITER,,,0
P000146,ORG000002,FINANCIER,,,0
P000147,ORG000002,FENCE,,,0
P000148,ORG000002,RECRUITER,,,0
P000149,ORG000002,LOGISTICS,,,0
P000150,ORG000002,LOGISTICS,,,0
P000151,ORG000002,COURIER,,,0
P000152,ORG000002,FIELD_OPERATIVE,,,0
P000153,ORG000002,LOGISTICS,,,0
P000154,ORG000002,RECRUITER,,,0
P000155,ORG000002,FIELD_OPERATIVE,,,0
P000156,ORG000002,LIEUTENANT,,,0
P000157,ORG000002,MULE,,,0
P000158,ORG000002,FIELD_OPERATIVE,,,0
