person_id,phone_id,usage_type,from_date,to_date,confidence
P000001,PH000001,REGISTERED,2020-09-09,,0.84
P000002,PH000002,REGISTERED,2021-08-18,,0.82
P000003,PH000003,REGISTERED,2019-06-18,,0.83
P000003,PH000004,USED_NOT_REGISTERED,2018-02-24,,0.82
P000004,PH000005,REGISTERED,2019-06-09,,0.86
P000004,PH000006,USED_NOT_REGISTERED,2018-05-23,2019-03-05,0.88
P000004,PH000007,REGISTERED,2020-09-28,,0.99
P000005,PH000008,REGISTERED,2025-11-22,,0.98
P000005,PH000009,USED_NOT_REGISTERED,2025-07-29,2026-03-28,0.73
P000005,PH000010,REGISTERED,2018-12-16,,0.86
P000006,PH000011,REGISTERED,2022-12-30,,0.83
P000007,PH000012,REGISTERED,2024-02-19,,0.9
P000007,PH000013,REGISTERED,2023-08-06,,0.92
P000008,PH000014,REGISTERED,2021-04-03,,0.95
P000008,PH000015,REGISTERED,2022-10-16,,0.98
P000008,PH000016,USED_NOT_REGISTERED,2022-11-21,,0.79
P000008,PH000017,REGISTERED,2020-01-12,,0.97
P000008,PH000018,REGISTERED,2023-10-28,,0.81
P000009,PH000019,REGISTERED,2021-02-10,,0.81
P000009,PH000020,USED_NOT_REGISTERED,2018-03-06,2018-04-30,0.85
P000009,PH000021,REGISTERED,2020-04-01,,0.83
P000010,PH000022,REGISTERED,2018-06-10,,0.73
P000010,PH000023,USED_NOT_REGISTERED,2021-03-26,,0.91
P000010,PH000024,USED_NOT_REGISTERED,2025-05-04,2025-10-25,0.98
P000011,PH000025,REGISTERED,2022-04-27,,0.97
P000011,PH000026,USED_NOT_REGISTERED,2022-01-30,2022-11-29,0.95
P000011,PH000027,USED_NOT_REGISTERED,2019-03-06,2019-08-13,0.77
P000011,PH000028,USED_NOT_REGISTERED,2020-02-27,2020-08-26,0.81
P000011,PH000029,USED_NOT_REGISTERED,2020-03-19,,0.89
P000011,PH000030,USED_NOT_REGISTERED,2021-01-26,2021-05-09,0.84
P000012,PH000031,REGISTERED,2019-10-08,,0.85
P000012,PH000032,USED_NOT_REGISTERED,2018-12-21,,0.75
P000013,PH000033,REGISTERED,2021-03-15,,0.76
P000013,PH000034,USED_NOT_REGISTERED,2025-08-13,2025-09-16,0.77
P000013,PH000035,REGISTERED,2026-06-14,,0.98
P000013,PH000036,REGISTERED,2018-08-11,,0.75
P000013,PH000037,USED_NOT_REGISTERED,2022-07-20,,0.73
P000014,PH000038,REGISTERED,2022-07-06,,0.75
P000014,PH000039,REGISTERED,2023-01-26,,0.8
P000014,PH000040,USED_NOT_REGISTERED,2022-06-22,,0.76
P000014,PH000041,USED_NOT_REGISTERED,2018-09-13,,0.95
P000015,PH000042,REGISTERED,2023-08-04,,0.79
P000015,PH000043,USED_NOT_REGISTERED,2024-04-27,2025-05-29,0.79
P000015,PH000044,REGISTERED,2022-05-19,,0.86
P000015,PH000045,USED_NOT_REGISTERED,2026-04-02,2026-12-30,0.94
P000016,PH000046,REGISTERED,2018-05-01,,0.93
P000017,PH000047,REGISTERED,2024-03-10,,0.85
P000017,PH000048,USED_NOT_REGISTERED,2023-03-18,2023-08-30,0.81
P000017,PH000049,REGISTERED,2018-04-15,,0.88
P000018,PH000050,REGISTERED,2022-02-24,,0.8
P000018,PH000051,USED_NOT_REGISTERED,2026-04-10,2027-03-13,0.82
P000019,PH000052,REGISTERED,2023-05-25,,0.79
P000019,PH000053,USED_NOT_REGISTERED,2022-04-05,2023-03-15,0.91
P000019,PH000054,USED_NOT_REGISTERED,2021-05-11,,0.83
P000020,PH000055,REGISTERED,2021-10-10,,0.86
P000020,PH000056,REGISTERED,2019-08-09,,0.84
P000020,PH000057,REGISTERED,2020-12-18,,0.85
P000021,PH000058,REGISTERED,2024-08-14,,0.91
P000021,PH000059,USED_NOT_REGISTERED,2025-07-31,,0.94
P000021,PH000060,USED_NOT_REGISTERED,2022-01-05,2022-05-01,0.95
P000022,PH000061,REGISTERED,2022-02-21,,0.97
P000022,PH000062,REGISTERED,2025-11-08,,0.99
P000022,PH000063,USED_NOT_REGISTERED,2020-05-04,2021-05-08,0.97
P000023,PH000064,REGISTERED,2018-06-26,,0.84
P000023,PH000065,REGISTERED,2019-09-24,,0.92
P000023,PH000066,USED_NOT_REGISTERED,2026-04-30,2026-12-30,0.94
P000023,PH000067,USED_NOT_REGISTERED,2020-08-10,,0.88
P000024,PH000068,REGISTERED,2026-05-15,,0.89
P000024,PH000069,USED_NOT_REGISTERED,2022-12-04,,0.84
P000024,PH000070,USED_NOT_REGISTERED,2021-07-06,2022-07-18,0.85
P000024,PH000071,USED_NOT_REGISTERED,2018-04-07,2018-09-03,0.82
P000025,PH000072,REGISTERED,2024-03-10,,0.72
P000025,PH000073,USED_NOT_REGISTERED,2020-05-10,2021-02-14,0.73
P000025,PH000074,USED_NOT_REGISTERED,2019-09-18,,0.73
P000025,PH000075,REGISTERED,2024-07-06,,0.9
P000026,PH000076,REGISTERED,2020-06-05,,0.77
P000027,PH000077,REGISTERED,2024-04-25,,0.85
P000027,PH000078,REGISTERED,2018-01-17,,0.84
P000028,PH000079,REGISTERED,2021-10-18,,0.91
P000028,PH000080,USED_NOT_REGISTERED,2024-09-21,2025-03-17,0.78
P000028,PH000081,REGISTERED,2019-08-19,,0.75
P000028,PH000082,REGISTERED,2022-08-07,,0.75
P000029,PH000083,REGISTERED,2019-02-09,,0.89
