person_id,vehicle_id,relation,from_date,to_date,confidence
P000001,VEH000001,REGISTERED_OWNER,2014-12-13,,0.95
P000002,VEH000002,REGISTERED_OWNER,2024-01-06,,0.95
P000005,VEH000003,REGISTERED_OWNER,2026-02-24,,0.95
P000008,VEH000004,REGISTERED_OWNER,2016-09-10,,0.95
P000013,VEH000005,REGISTERED_OWNER,2014-05-06,,0.95
P000021,VEH000006,REGISTERED_OWNER,2018-10-20,,0.95
P000027,VEH000007,REGISTERED_OWNER,2022-07-24,,0.95
P000029,VEH000008,REGISTERED_OWNER,2018-12-02,,0.95
P000030,VEH000009,REGISTERED_OWNER,2021-10-20,,0.95
P000031,VEH000010,REGISTERED_OWNER,2023-12-13,,0.95
P000034,VEH000011,REGISTERED_OWNER,2019-08-05,,0.95
P000042,VEH000012,REGISTERED_OWNER,2017-09-23,,0.95
P000043,VEH000013,REGISTERED_OWNER,2023-08-17,,0.95
P000045,VEH000014,REGISTERED_OWNER,2018-09-03,,0.95
P000046,VEH000015,REGISTERED_OWNER,2012-07-27,,0.95
P000047,VEH000016,REGISTERED_OWNER,2023-09-09,,0.95
P000050,VEH000017,REGISTERED_OWNER,2018-01-18,,0.95
P000052,VEH000018,REGISTERED_OWNER,2014-03-12,,0.95
P000057,VEH000019,REGISTERED_OWNER,2019-04-02,,0.95
P000059,VEH000020,REGISTERED_OWNER,2017-05-01,,0.95
P000061,VEH000021,REGISTERED_OWNER,2016-05-16,,0.95
P000066,VEH000022,REGISTERED_OWNER,2016-06-01,,0.95
P000068,VEH000023,REGISTERED_OWNER,2013-10-24,,0.95
P000071,VEH000024,REGISTERED_OWNER,2019-12-15,,0.95
P000073,VEH000025,REGISTERED_OWNER,2026-01-18,,0.95
P000074,VEH000026,REGISTERED_OWNER,2025-09-17,,0.95
P000077,VEH000027,REGISTERED_OWNER,2025-05-16,,0.95
P000078,VEH000028,REGISTERED_OWNER,2024-06-19,,0.95
P000080,VEH000029,REGISTERED_OWNER,2013-06-16,,0.95
P000081,VEH000030,REGISTERED_OWNER,2023-02-20,,0.95
P000085,VEH000031,REGISTERED_OWNER,2021-08-02,,0.95
P000092,VEH000032,REGISTERED_OWNER,2018-12-20,,0.95
P000095,VEH000033,REGISTERED_OWNER,2023-04-05,,0.95
P000096,VEH000034,REGISTERED_OWNER,2023-12-16,,0.95
P000098,VEH000035,REGISTERED_OWNER,2019-02-26,,0.95
P000099,VEH000036,REGISTERED_OWNER,2018-08-21,,0.95
P000100,VEH000037,REGISTERED_OWNER,2020-07-17,,0.95
P000101,VEH000038,REGISTERED_OWNER,2019-09-08,,0.95
P000105,VEH000039,REGISTERED_OWNER,2013-10-05,,0.95
P000106,VEH000040,REGISTERED_OWNER,2014-09-18,,0.95
P000107,VEH000041,REGISTERED_OWNER,2025-12-07,,0.95
P000113,VEH000042,REGISTERED_OWNER,2018-06-25,,0.95
P000116,VEH000043,REGISTERED_OWNER,2020-11-15,,0.95
P000122,VEH000044,REGISTERED_OWNER,2021-04-25,,0.95
P000124,VEH000045,REGISTERED_OWNER,2024-08-29,,0.95
P000125,VEH000046,REGISTERED_OWNER,2022-06-23,,0.95
P000126,VEH000047,REGISTERED_OWNER,2023-05-10,,0.95
P000127,VEH000048,REGISTERED_OWNER,2025-03-09,,0.95
P000138,VEH000049,REGISTERED_OWNER,2019-04-14,,0.95
P000141,VEH000050,REGISTERED_OWNER,2019-10-14,,0.95
P000142,VEH000051,REGISTERED_OWNER,2025-08-25,,0.95
P000147,VEH000052,REGISTERED_OWNER,2022-06-02,,0.95
P000148,VEH000053,REGISTERED_OWNER,2023-05-24,,0.95
P000149,VEH000054,REGISTERED_OWNER,2013-08-04,,0.95
P000154,VEH000055,REGISTERED_OWNER,2015-05-25,,0.95
P000157,VEH000056,REGISTERED_OWNER,2025-06-02,,0.95
P000160,VEH000057,REGISTERED_OWNER,2025-07-11,,0.95
P000162,VEH000058,REGISTERED_OWNER,2023-04-16,,0.95
P000164,VEH000059,REGISTERED_OWNER,2015-09-05,,0.95
