src,dst,edge_type,weight,attributes
P000012,P000035,REPORTS_TO,0.92,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000013,P000035,REPORTS_TO,0.99,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000015,P000035,REPORTS_TO,0.96,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000018,P000035,REPORTS_TO,0.76,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000091,P000035,REPORTS_TO,0.85,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000051,P000035,FINANCES,0.89,"{""subtype"": """", ""confidence"": 0.86, ""verified"": 1, ""source"": ""BANK_STATEMENT""}"
P000082,P000035,FINANCES,0.71,"{""subtype"": """", ""confidence"": 0.86, ""verified"": 1, ""source"": ""BANK_STATEMENT""}"
P000012,P000081,REPORTS_TO,0.77,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000013,P000081,REPORTS_TO,0.87,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000015,P000081,REPORTS_TO,0.83,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000018,P000081,REPORTS_TO,0.96,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000091,P000081,REPORTS_TO,0.86,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 1, ""source"": ""INTELLIGENCE_REPORT""}"
P000028,P000081,FINANCES,0.76,"{""subtype"": """", ""confidence"": 0.86, ""verified"": 1, ""source"": ""BANK_STATEMENT""}"
P000080,P000081,FINANCES,0.82,"{""subtype"": """", ""confidence"": 0.86, ""verified"": 1, ""source"": ""BANK_STATEMENT""}"
P000019,P000012,REPORTS_TO,0.88,"{""subtype"": """", ""confidence"": 0.97, ""verified"": 1, ""source"": ""IPDR""}"
P000024,P000012,REPORTS_TO,0.86,"{""subtype"": """", ""confidence"": 0.68, ""verified"": 0, ""source"": ""IPDR""}"
P000092,P000012,REPORTS_TO,0.88,"{""subtype"": """", ""confidence"": 0.75, ""verified"": 1, ""source"": ""SEIZURE_MEMO""}"
P000012,P000092,HANDLER_OF,0.41,"{""subtype"": """", ""confidence"": 0.86, ""verified"": 1, ""source"": ""CRIMINAL_HISTORY_DB""}"
P000039,P000012,REPORTS_TO,0.72,"{""subtype"": """", ""confidence"": 0.84, ""verified"": 1, ""source"": ""FIR""}"
P000044,P000012,REPORTS_TO,0.9,"{""subtype"": """", ""confidence"": 0.98, ""verified"": 1, ""source"": ""SEIZURE_MEMO""}"
P000028,P000012,REPORTS_TO,0.7,"{""subtype"": """", ""confidence"": 0.95, ""verified"": 1, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000012,P000028,RECRUITED_BY,0.82,"{""subtype"": """", ""confidence"": 0.8, ""verified"": 0, ""source"": ""INFORMANT_TIP""}"
P000030,P000012,REPORTS_TO,0.72,"{""subtype"": """", ""confidence"": 0.69, ""verified"": 0, ""source"": ""INTELLIGENCE_REPORT""}"
P000079,P000012,REPORTS_TO,0.79,"{""subtype"": """", ""confidence"": 0.63, ""verified"": 1, ""source"": ""SURVEILLANCE_REPORT""}"
P000012,P000079,RECRUITED_BY,0.93,"{""subtype"": """", ""confidence"": 0.86, ""verified"": 0, ""source"": ""CHARGESHEET""}"
P000042,P000012,REPORTS_TO,0.78,"{""subtype"": """", ""confidence"": 0.96, ""verified"": 1, ""source"": ""CDR""}"
P000034,P000012,REPORTS_TO,0.84,"{""subtype"": """", ""confidence"": 0.98, ""verified"": 1, ""source"": ""SOCIAL_MEDIA_INTEL""}"
P000038,P000012,REPORTS_TO,0.77,"{""subtype"": """", ""confidence"": 0.46, ""verified"": 1, ""source"": ""BANK_STATEMENT""}"
P000016,P000012,REPORTS_TO,0.74,"{""subtype"": """", ""confidence"": 0.53, ""verified"": 1, ""source"": ""CRIMINAL_HISTORY_DB""}"
P000032,P000012,REPORTS_TO,0.88,"{""subtype"": """", ""confidence"": 0.83, ""verified"": 1, ""source"": ""SEIZURE_MEMO""}"
P000068,P000012,REPORTS_TO,0.88,"{""subtype"": """", ""confidence"": 0.9, ""verified"": 1, ""source"": ""IPDR""}"
