case_id,case_title,primary_crime,lead_agency,syndicate_id,syndicate_code,opened_date,status,priority
CASE000001,Operation Pralay-15,MURDER,Directorate of Revenue Intelligence,ORG000014,SYN-SHK,2023-06-26,UNDER_INVESTIGATION,MEDIUM
CASE000002,Operation Dhruv-16,NDPS_TRAFFICKING,Cyber Crime Cell,ORG000002,SYN-HER,2019-07-17,TRIAL,MEDIUM
CASE000003,Operation Pralay-98,CRIMINAL_CONSPIRACY,Central Bureau of Investigation,ORG000015,SYN-WLD,2019-09-30,UNDER_INVESTIGATION,HIGH
CASE000004,Operation Netra-42,ILLEGAL_MINING,Railway Protection Force,ORG000005,SYN-MIN,2022-06-20,UNDER_INVESTIGATION,LOW
CASE000005,Operation Samadhan-69,CHIT_FUND_PONZI,Central Bureau of Investigation,ORG000011,SYN-PON,2023-04-30,UNDER_INVESTIGATION,MEDIUM
CASE000006,Operation Netra-38,CHEATING_FRAUD,Border Security Force - Intel,ORG000004,SYN-HAW,2021-03-13,CLOSED,MEDIUM
CASE000007,Operation Aakhet-52,MONEY_LAUNDERING,Anti-Terrorism Squad (ATS),ORG000012,SYN-BET,2026-05-26,CHARGESHEETED,LOW
CASE000008,Operation Kavach-39,MURDER,Economic Offences Wing,,UNAFFILIATED,2018-04-11,CHARGESHEETED,HIGH
CASE000009,Operation Prahar-64,MURDER,Enforcement Directorate,ORG000007,SYN-ARM,2021-02-06,UNDER_INVESTIGATION,HIGH
CASE000010,Operation Trishul-56,DACOITY,State Intelligence Department,,UNAFFILIATED,2022-02-08,UNDER_INVESTIGATION,HIGH
CASE000011,Operation Kavach-24,SMUGGLING_CUSTOMS,Economic Offences Wing,ORG000009,SYN-FIC,2024-07-25,CHARGESHEETED,MEDIUM
CASE000012,Operation Sankalp-30,HUMAN_TRAFFICKING,Railway Protection Force,ORG000006,SYN-TRF,2019-03-16,TRIAL,MEDIUM
CASE000013,Operation Pralay-11,RIOTING,Anti-Terrorism Squad (ATS),,UNAFFILIATED,2023-11-24,UNDER_INVESTIGATION,MEDIUM
CASE000014,Operation Sankalp-79,BETTING_GAMBLING,Income Tax Investigation Wing,ORG000012,SYN-BET,2021-03-23,UNDER_INVESTIGATION,MEDIUM
CASE000015,Operation Vajra-49,ORGANISED_CRIME,State Intelligence Department,ORG000013,SYN-KDN,2025-01-19,TRIAL,MEDIUM
CASE000016,Operation Samadhan-34,MURDER,Narcotics Control Bureau,,UNAFFILIATED,2024-07-04,TRIAL,LOW
CASE000017,Operation Sankalp-48,MURDER,Central Bureau of Investigation,ORG000005,SYN-MIN,2019-11-25,UNDER_INVESTIGATION,MEDIUM
CASE000018,Operation Samadhan-71,SMUGGLING_CUSTOMS,Narcotics Control Bureau,,UNAFFILIATED,2021-07-18,CHARGESHEETED,HIGH
CASE000019,Operation Netra-14,ORGANISED_CRIME,Anti-Terrorism Squad (ATS),ORG000013,SYN-KDN,2025-08-31,TRIAL,LOW
