device_id,imei,make,model,is_dual_sim,first_seen
DEV000001,495322247081011,Oppo,M77,1,2019-11-19
DEV000002,351669460212465,Nokia,M64,0,2019-08-14
DEV000003,019627622368313,Realme,M70,1,2020-11-07
DEV000004,866139594592111,Lava,M52,0,2019-12-10
DEV000005,010194737796260,Vivo,M74,0,2024-07-17
DEV000006,357251234335369,Nokia,M57,1,2025-08-16
DEV000007,493621051640782,Nokia,M92,1,2021-05-15
DEV000008,494550728310180,Apple,M97,1,2024-02-16
DEV000009,357564505810581,Samsung,M23,1,2025-03-13
DEV000010,010591934424627,Nokia,M23,0,2020-02-11
DEV000011,860653353597599,Lava,M12,1,2019-10-03
DEV000012,010258988108559,Lava,M67,1,2021-11-04
DEV000013,350488672514096,OnePlus,M24,0,2018-07-28
DEV000014,353675726684901,Apple,M39,1,2022-09-28
DEV000015,866135062108405,Xiaomi,M51,0,2024-11-18
DEV000016,353875007709905,Vivo,M24,1,2019-08-17
DEV000017,353598043331564,Tecno,M63,1,2019-04-19
DEV000018,865951763524130,Samsung,M29,0,2023-11-30
DEV000019,860112738318175,Realme,M13,0,2021-07-26
DEV000020,492668063992411,OnePlus,M91,1,2024-09-10
DEV000021,010627890880680,Vivo,M21,0,2019-09-07
DEV000022,865024694841234,Realme,M26,1,2019-11-28
DEV000023,863119161195530,Samsung,M86,1,2020-04-21
DEV000024,864037791703796,Vivo,M13,1,2024-01-15
DEV000025,868079511812162,Apple,M32,1,2022-03-08
DEV000026,496970856759102,Apple,M93,1,2020-05-20
DEV000027,355072592501699,Xiaomi,M54,1,2023-05-06
DEV000028,499823070081335,Oppo,M84,1,2020-05-04
DEV000029,357931625055328,OnePlus,M66,1,2019-08-20
DEV000030,352769347796606,Apple,M42,0,2021-09-23
DEV000031,017504224640695,Oppo,M94,0,2023-08-11
DEV000032,011698142076815,Nokia,M93,1,2022-10-24
DEV000033,493703559591515,OnePlus,M66,0,2026-06-13
DEV000034,355501352471178,Lava,M75,1,2021-11-16
DEV000035,011391841805142,Xiaomi,M26,1,2025-12-31
DEV000036,495314594568152,Samsung,M79,1,2019-03-22
DEV000037,018672602131807,OnePlus,M64,0,2022-08-27
DEV000038,355225898730733,Realme,M23,1,2022-06-14
DEV000039,011906710099785,Oppo,M47,0,2024-11-18
DEV000040,355792826290169,Apple,M23,1,2026-02-11
DEV000041,350233094621475,Samsung,M63,0,2022-03-17
DEV000042,493053428907812,OnePlus,M29,1,2018-09-13
DEV000043,014166611772948,Realme,M10,1,2023-04-05
DEV000044,357828625587296,Vivo,M67,1,2022-10-19
DEV000045,018736080558225,OnePlus,M28,0,2025-12-04
DEV000046,359180438430978,Tecno,M72,1,2022-03-20
DEV000047,499251362238017,Vivo,M94,1,2018-05-12
DEV000048,351819023201659,Xiaomi,M86,1,2024-10-09
DEV000049,352817393396919,Samsung,M79,1,2024-07-24
DEV000050,016120646467640,Nokia,M81,0,2022-04-16
DEV000051,010719709574450,Oppo,M13,0,2024-08-18
DEV000052,358349116476494,Realme,M71,1,2025-09-29
DEV000053,863207248611561,Realme,M39,0,2025-10-17
DEV000054,013741269808654,Apple,M25,1,2022-08-20
DEV000055,013121345579999,Samsung,M15,1,2021-11-04
DEV000056,352803568991083,Apple,M78,1,2023-02-24
DEV000057,495013993925675,Tecno,M71,1,2021-06-01
DEV000058,015461203846721,OnePlus,M43,1,2018-08-01
DEV000059,358928914353541,Realme,M53,1,2022-10-27
DEV000060,869399431095180,Lava,M75,1,2022-12-28
DEV000061,350161832152907,Samsung,M73,1,2026-04-13
DEV000062,017658575790335,OnePlus,M90,1,2026-03-02
DEV000063,359963230477253,Tecno,M63,1,2019-01-10
DEV000064,355338416290623,Lava,M75,1,2026-01-26
DEV000065,869516289084548,Lava,M29,1,2022-11-30
DEV000066,018728023865624,OnePlus,M15,0,2024-03-20
DEV000067,350846900158124,Vivo,M58,0,2021-01-24
DEV000068,017041450563378,Samsung,M64,1,2021-10-03
DEV000069,358196138759551,Tecno,M45,1,2024-06-12
DEV000070,862580245571163,Realme,M69,1,2020-04-30
