incident_id,fir_no,case_id,crime_type,ipc_section,bns_section,severity,bailable,ps_id,ps_name,location_id,area,city,state,latitude,longitude,incident_datetime,reported_datetime,investigating_agency,syndicate_id,syndicate_code,status,loss_or_value_inr,n_accused,source_reliability
INC000001,414/2024,CASE000113,CYBER_FRAUD,IT Act 66C/66D,319(2),5,1,PS000026,Loni Police Station,LOC000026,Loni,Ghaziabad,Uttar Pradesh,28.74286,77.27579,2024-07-13T04:49,2024-07-14T07:49,Income Tax Investigation Wing,,UNAFFILIATED,ACQUITTED,56076,3,A
INC000002,639/2025,CASE000011,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000115,Sutarkandi Police Station,LOC000115,Sutarkandi,Karimganj,Assam,24.87968,92.34231,2025-08-23T00:19,2025-08-24T04:19,Economic Offences Wing,ORG000009,SYN-FIC,UNDER_INVESTIGATION,0,3,B
INC000003,299/2026,CASE000095,MONEY_LAUNDERING,PMLA 3/4,-,7,0,PS000002,Dharavi Police Station,LOC000002,Dharavi,Mumbai,Maharashtra,19.0349,72.84279,2026-04-02T23:38,2026-04-04T14:38,State Police - Crime Branch,ORG000012,SYN-BET,UNDER_INVESTIGATION,1984522,4,C
INC000004,351/2024,CASE000043,ARMS_ACT,Arms Act 25/27,-,6,0,PS000059,Rampura Phul Police Station,LOC000059,Rampura Phul,Bathinda,Punjab,30.26925,75.24749,2024-08-10T04:06,2024-08-13T02:06,Narcotics Control Bureau,ORG000014,SYN-SHK,UNTRACED,0,4,D
INC000005,598/2019,CASE000155,NDPS_TRAFFICKING,NDPS 21(c)/29,-,9,0,PS000057,Mamdot Police Station,LOC000057,Mamdot,Ferozepur,Punjab,30.92456,74.61601,2019-01-27T00:02,2019-01-28T19:02,Enforcement Directorate,ORG000002,SYN-HER,ACQUITTED,293409918,1,D
INC000006,532/2024,CASE000006,CHEATING_FRAUD,420,318(4),5,1,PS000009,Yerwada Police Station,LOC000009,Yerwada,Pune,Maharashtra,18.54781,73.88111,2024-03-10T21:58,2024-03-12T02:58,Border Security Force - Intel,ORG000004,SYN-HAW,UNDER_INVESTIGATION,20313432,2,C
INC000007,731/2021,CASE000130,MONEY_LAUNDERING,PMLA 3/4,-,7,0,PS000084,Kukatpally Police Station,LOC000084,Kukatpally,Hyderabad,Telangana,17.48623,78.40974,2021-06-21T12:36,2021-06-22T00:36,Anti-Terrorism Squad (ATS),ORG000012,SYN-BET,UNTRACED,47229119,5,D
INC000008,330/2023,CASE000002,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000016,Seelampur Police Station,LOC000016,Seelampur,New Delhi,Delhi,28.67711,77.27533,2023-08-20T23:47,2023-08-23T06:47,Cyber Crime Cell,ORG000002,SYN-HER,CONVICTED,0,2,D
INC000009,768/2019,CASE000008,MURDER,302,103(1),10,0,PS000059,Rampura Phul Police Station,LOC000059,Rampura Phul,Bathinda,Punjab,30.26925,75.24749,2019-03-08T22:24,2019-03-09T19:24,Economic Offences Wing,,UNAFFILIATED,UNDER_INVESTIGATION,0,3,C
INC000010,116/2025,CASE000028,VEHICLE_THEFT,379/411,303(2),3,1,PS000058,Nakodar Police Station,LOC000058,Nakodar,Jalandhar,Punjab,31.1138,75.47897,2025-05-06T23:35,2025-05-07T23:35,Enforcement Directorate,ORG000008,SYN-VEH,CONVICTED,0,5,A
INC000011,201/2024,CASE000121,SMUGGLING_CUSTOMS,Customs Act 135,-,5,1,PS000041,Khajanchi Hat Police Station,LOC000041,Khajanchi Hat,Purnia,Bihar,25.78858,87.47757,2024-02-29T20:13,2024-02-29T22:13,Anti-Narcotics Cell,ORG000009,SYN-FIC,CONVICTED,1456376474,1,C
INC000012,774/2023,CASE000147,EXTORTION,384/387,308,6,0,PS000017,Jamia Nagar Police Station,LOC000017,Jamia Nagar,New Delhi,Delhi,28.55756,77.28271,2023-08-02T08:13,2023-08-05T04:13,Income Tax Investigation Wing,ORG000012,SYN-BET,UNDER_INVESTIGATION,44819345,5,A
INC000013,630/2025,CASE000117,ATTEMPT_TO_MURDER,307,109,8,0,PS000007,Mumbra Police Station,LOC000007,Mumbra,Thane,Maharashtra,19.18341,73.02479,2025-08-02T22:48,2025-08-03T06:48,Special Task Force (STF),ORG000001,SYN-EXT,UNDER_INVESTIGATION,0,1,D
INC000014,827/2025,CASE000034,MONEY_LAUNDERING,PMLA 3/4,-,7,0,PS000071,Juhapura Police Station,LOC000071,Juhapura,Ahmedabad,Gujarat,22.99114,72.53016,2025-08-21T07:50,2025-08-23T14:50,Enforcement Directorate,ORG000012,SYN-BET,CHARGESHEETED,985366392,2,C
INC000015,705/2021,CASE000020,CHEATING_FRAUD,420,318(4),5,1,PS000040,Barauni Police Station,LOC000040,Barauni,Begusarai,Bihar,25.42198,86.12977,2021-09-14T15:02,2021-09-17T14:02,State Intelligence Department,ORG000011,SYN-PON,UNDER_INVESTIGATION,1148251966,1,D
INC000016,559/2026,CASE000107,CRIMINAL_CONSPIRACY,120B,61(2),5,0,PS000040,Barauni Police Station,LOC000040,Barauni,Begusarai,Bihar,25.42198,86.12977,2026-06-17T02:49,2026-06-17T20:49,Anti-Narcotics Cell,ORG000007,SYN-ARM,CHARGESHEETED,0,4,D
