location_id,area,city,state,country,latitude,longitude,place_type,is_border_point,is_hotspot
LOC000001,Dongri,Mumbai,Maharashtra,India,18.96279,72.8275,Jewellery Shop,0,0
LOC000002,Dharavi,Mumbai,Maharashtra,India,19.0349,72.84279,Hotel,0,0
LOC000003,Kurla,Mumbai,Maharashtra,India,19.07353,72.88684,Godown,0,0
LOC000004,Bhendi Bazaar,Mumbai,Maharashtra,India,18.95981,72.82064,Godown,0,0
LOC000005,Andheri,Mumbai,Maharashtra,India,19.11407,72.84691,Residence,0,0
LOC000006,Malad,Mumbai,Maharashtra,India,19.18722,72.85232,Bar,0,0
LOC000007,Mumbra,Thane,Maharashtra,India,19.18341,73.02479,Residence,0,0
LOC000008,Vashi,Navi Mumbai,Maharashtra,India,19.08218,72.99119,Bar,0,0
LOC000009,Yerwada,Pune,Maharashtra,India,18.54781,73.88111,Petrol Pump,0,0
LOC000010,Kondhwa,Pune,Maharashtra,India,18.45704,73.8876,Farmhouse,0,0
LOC000011,Kamptee,Nagpur,Maharashtra,India,21.22695,79.19707,Hideout,0,0
LOC000012,Panchavati,Nashik,Maharashtra,India,20.01459,73.79072,Warehouse,0,0
LOC000013,Cidco,Aurangabad,Maharashtra,India,19.86758,75.33886,Farmhouse,0,0
LOC000014,Barshi,Solapur,Maharashtra,India,18.23555,75.69409,Hideout,0,0
LOC000015,Chandni Chowk,New Delhi,Delhi,India,28.65923,77.23546,Godown,0,1
LOC000016,Seelampur,New Delhi,Delhi,India,28.67711,77.27533,Warehouse,0,1
LOC000017,Jamia Nagar,New Delhi,Delhi,India,28.55756,77.28271,Farmhouse,0,1
LOC000018,Karol Bagh,New Delhi,Delhi,India,28.64425,77.18711,Jewellery Shop,0,1
LOC000019,Najafgarh,New Delhi,Delhi,India,28.61304,77.01367,Godown,0,1
LOC000020,Nangloi,New Delhi,Delhi,India,28.68418,77.06042,Cyber Cafe,0,1
LOC000021,Sangam Vihar,New Delhi,Delhi,India,28.48827,77.23159,Cyber Cafe,0,1
LOC000022,Paharganj,New Delhi,Delhi,India,28.64769,77.22086,Hideout,0,1
LOC000023,Aminabad,Lucknow,Uttar Pradesh,India,26.84458,80.91064,Petrol Pump,0,0
LOC000024,Chakeri,Kanpur,Uttar Pradesh,India,26.41802,80.40132,Petrol Pump,0,0
LOC000025,Lisari Gate,Meerut,Uttar Pradesh,India,28.97425,77.70598,Gym,0,0
LOC000026,Loni,Ghaziabad,Uttar Pradesh,India,28.74286,77.27579,Jewellery Shop,0,0
LOC000027,Sector 63,Noida,Uttar Pradesh,India,28.63194,77.37857,Warehouse,0,0
LOC000028,Chetganj,Varanasi,Uttar Pradesh,India,25.31724,82.98995,Dhaba,0,0
LOC000029,Rajghat,Gorakhpur,Uttar Pradesh,India,26.76019,83.36182,Hideout,0,0
LOC000030,Dhoomanganj,Prayagraj,Uttar Pradesh,India,25.43722,81.80306,Transit Point,0,0
LOC000031,Kutba,Muzaffarnagar,Uttar Pradesh,India,29.47784,77.70244,Godown,0,0
LOC000032,Baradari,Bareilly,Uttar Pradesh,India,28.3677,79.43192,Gym,0,0
LOC000033,Sarai Mir,Azamgarh,Uttar Pradesh,India,26.01058,82.80942,Residence,0,0
LOC000034,Line Bazaar,Jaunpur,Uttar Pradesh,India,25.75361,82.67229,Jewellery Shop,0,0
LOC000035,Kadamkuan,Patna,Bihar,India,25.62537,85.1468,Scrap Yard,0,1
LOC000036,Kasim Bazaar,Munger,Bihar,India,25.3687,86.46907,Jewellery Shop,0,0
LOC000037,Mithanpura,Muzaffarpur,Bihar,India,26.12944,85.39524,Hotel,0,1
LOC000038,Chandauti,Gaya,Bihar,India,24.78741,84.99597,Border Crossing,0,0
LOC000039,Mahadeva,Siwan,Bihar,India,26.21306,84.36525,Residence,0,0
LOC000040,Barauni,Begusarai,Bihar,India,25.42198,86.12977,Hotel,0,1
LOC000041,Khajanchi Hat,Purnia,Bihar,India,25.78858,87.47757,Scrap Yard,0,0
LOC000042,Karmatanr,Jamtara,Jharkhand,India,23.95479,86.79482,Godown,0,0
LOC000043,Sarwan,Deoghar,Jharkhand,India,24.47171,86.69972,Godown,0,1
LOC000044,Jharia,Dhanbad,Jharkhand,India,23.74956,86.41065,Dhaba,0,0
LOC000045,Hatia,Ranchi,Jharkhand,India,23.30257,85.31951,Transit Point,0,0
LOC000046,Bengabad,Giridih,Jharkhand,India,24.1853,86.30745,Bar,0,0
LOC000047,Metiabruz,Kolkata,West Bengal,India,22.53329,88.31358,Border Crossing,0,1
LOC000048,Rajabazar,Kolkata,West Bengal,India,22.57998,88.37543,Farmhouse,0,1
LOC000049,Kaliachak,Malda,West Bengal,India,24.97035,88.00242,Cyber Cafe,1,1
LOC000050,Jalangi,Murshidabad,West Bengal,India,24.11042,88.40108,Cyber Cafe,1,1
LOC000051,Bongaon,North 24 Parganas,West Bengal,India,23.07416,88.81118,Godown,0,0
LOC000052,Matigara,Siliguri,West Bengal,India,26.72719,88.37142,Cyber Cafe,1,1
LOC000053,Karimpur,Nadia,West Bengal,India,23.96971,88.62078,Marriage Hall,1,0
LOC000054,Ajnala,Amritsar,Punjab,India,31.83946,74.75814,Hotel,1,0
LOC000055,Khalra,Tarn Taran,Punjab,India,31.44862,74.56847,Gym,0,0
LOC000056,Jamalpur,Ludhiana,Punjab,India,30.91108,75.85307,Hotel,1,0
LOC000057,Mamdot,Ferozepur,Punjab,India,30.92456,74.61601,Hotel,1,0
LOC000058,Nakodar,Jalandhar,Punjab,India,31.1138,75.47897,Bar,1,0
LOC000059,Rampura Phul,Bathinda,Punjab,India,30.26925,75.24749,Godown,0,1
LOC000060,Punhana,Nuh,Haryana,India,27.86723,77.21101,Hideout,0,0
LOC000061,Sohna,Gurugram,Haryana,India,28.25004,77.06581,Residence,0,0
LOC000062,Gohana,Sonipat,Haryana,India,29.14638,76.70853,Cyber Cafe,0,0
LOC000063,Barwala,Hisar,Haryana,India,29.36333,75.90971,Border Crossing,0,0
LOC000064,Ballabgarh,Faridabad,Haryana,India,28.34729,77.32805,Transit Point,0,0
LOC000065,Osian,Jodhpur,Rajasthan,India,26.71758,72.91971,Jewellery Shop,0,0
