org_id,name,org_type,syndicate_code,archetype_label,parent_syndicate_id,hq_location_id,hq_city,hq_state,operating_states,foreign_links,primary_crimes,member_count,active_since,status,threat_level
ORG000001,Urban Extortion & Land Syndicate [Mumbai cluster],SYNDICATE,SYN-EXT,Urban Extortion & Land Syndicate,,LOC000005,Mumbai,Maharashtra,Delhi|Gujarat|Karnataka|Maharashtra,UAE,EXTORTION|LAND_GRABBING|ATTEMPT_TO_MURDER|MURDER|ORGANISED_CRIME|CRIMINAL_CONSPIRACY,92,2005-05-07,ACTIVE,MEDIUM
ORG000002,Golden Crescent Heroin Corridor [Tarn Taran cluster],SYNDICATE,SYN-HER,Golden Crescent Heroin Corridor,,LOC000055,Tarn Taran,Punjab,Delhi|Haryana|Jammu and Kashmir|Punjab|Rajasthan,Pakistan|Afghanistan|UAE,NDPS_TRAFFICKING|NDPS_POSSESSION|ARMS_ACT|MONEY_LAUNDERING|CRIMINAL_CONSPIRACY,82,2009-12-12,ACTIVE,HIGH
ORG000003,Vishing / Digital-Arrest Cyber Fraud Network [Patna cluster],SYNDICATE,SYN-CYB,Vishing / Digital-Arrest Cyber Fraud Network,,LOC000035,Patna,Bihar,Bihar|Delhi|Haryana|Jharkhand|Karnataka|Uttar Pradesh|West Bengal,Nepal|Bangladesh|Myanmar|Thailand,CYBER_FRAUD|CHEATING_FRAUD|FORGERY|MONEY_LAUNDERING,115,2015-11-15,ACTIVE,CRITICAL
ORG000004,Hawala & Trade-Based Laundering Ring [New Delhi cluster],SYNDICATE,SYN-HAW,Hawala & Trade-Based Laundering Ring,,LOC000022,New Delhi,Delhi,Delhi|Gujarat|Kerala|Maharashtra|Tamil Nadu|Telangana|West Bengal,UAE|Malaysia|Sri Lanka,MONEY_LAUNDERING|SMUGGLING_CUSTOMS|FORGERY|CHEATING_FRAUD,68,2007-08-12,DISRUPTED,HIGH
ORG000005,Illegal Sand & Mineral Mining Mafia [Kalaburagi cluster],SYNDICATE,SYN-MIN,Illegal Sand & Mineral Mining Mafia,,LOC000102,Kalaburagi,Karnataka,Bihar|Karnataka|Madhya Pradesh|Rajasthan|Tamil Nadu|Uttar Pradesh,,ILLEGAL_MINING|EXTORTION|ATTEMPT_TO_MURDER|RIOTING|MURDER,59,2007-12-12,ACTIVE,HIGH
ORG000006,Cross-Border Human Trafficking Network [Nadia cluster],SYNDICATE,SYN-TRF,Cross-Border Human Trafficking Network,,LOC000053,Nadia,West Bengal,Assam|Bihar|Delhi|Haryana|Karnataka|Maharashtra|West Bengal,Bangladesh|Nepal,HUMAN_TRAFFICKING|FORGERY|CRIMINAL_CONSPIRACY|CHEATING_FRAUD,55,2007-05-17,ACTIVE,CRITICAL
ORG000007,Illicit Arms Manufacture & Supply Chain [Siwan cluster],SYNDICATE,SYN-ARM,Illicit Arms Manufacture & Supply Chain,,LOC000039,Siwan,Bihar,Bihar|Jharkhand|Madhya Pradesh|Maharashtra|Uttar Pradesh|West Bengal,Nepal,ARMS_ACT|CRIMINAL_CONSPIRACY|MURDER|ORGANISED_CRIME,47,2011-04-27,DISRUPTED,HIGH
ORG000008,Inter-State Vehicle Theft & Chop-Shop Ring [Gurugram cluster],SYNDICATE,SYN-VEH,Inter-State Vehicle Theft & Chop-Shop Ring,,LOC000061,Gurugram,Haryana,Bihar|Delhi|Haryana|Punjab|Rajasthan|Uttar Pradesh,Nepal,VEHICLE_THEFT|FORGERY|CHEATING_FRAUD|ROBBERY,51,2006-06-27,ACTIVE,MEDIUM
ORG000009,Fake Indian Currency Note Circulation Ring [Siwan cluster],SYNDICATE,SYN-FIC,Fake Indian Currency Note Circulation Ring,,LOC000039,Siwan,Bihar,Assam|Bihar|Delhi|Uttar Pradesh|West Bengal,Bangladesh|Nepal|Pakistan,FICN_COUNTERFEIT|SMUGGLING_CUSTOMS|CRIMINAL_CONSPIRACY,41,2005-08-02,ACTIVE,CRITICAL
ORG000010,Eastern Ghats Ganja Supply Corridor [Ganjam cluster],SYNDICATE,SYN-GAN,Eastern Ghats Ganja Supply Corridor,,LOC000112,Ganjam,Odisha,Andhra Pradesh|Chhattisgarh|Karnataka|Maharashtra|Odisha|Tamil Nadu|Telangana,,NDPS_TRAFFICKING|NDPS_POSSESSION|CRIMINAL_CONSPIRACY|ARMS_ACT,55,2006-10-25,ACTIVE,HIGH
