ps_id,ps_name,short_name,city,state,jurisdiction_location_id
PS000001,Dongri Police Station,Dongri,Mumbai,Maharashtra,LOC000001
PS000002,Dharavi Police Station,Dharavi,Mumbai,Maharashtra,LOC000002
PS000003,Kurla Police Station,Kurla,Mumbai,Maharashtra,LOC000003
PS000004,Bhendi Bazaar Police Station,Bhendi Bazaar,Mumbai,Maharashtra,LOC000004
PS000005,Andheri Police Station,Andheri,Mumbai,Maharashtra,LOC000005
PS000006,Malad Police Station,Malad,Mumbai,Maharashtra,LOC000006
PS000007,Mumbra Police Station,Mumbra,Thane,Maharashtra,LOC000007
PS000008,Vashi Police Station,Vashi,Navi Mumbai,Maharashtra,LOC000008
PS000009,Yerwada Police Station,Yerwada,Pune,Maharashtra,LOC000009
PS000010,Kondhwa Police Station,Kondhwa,Pune,Maharashtra,LOC000010
PS000011,Kamptee Police Station,Kamptee,Nagpur,Maharashtra,LOC000011
PS000012,Panchavati Police Station,Panchavati,Nashik,Maharashtra,LOC000012
PS000013,Cidco Police Station,Cidco,Aurangabad,Maharashtra,LOC000013
PS000014,Barshi Police Station,Barshi,Solapur,Maharashtra,LOC000014
PS000015,Chandni Chowk Police Station,Chandni Chowk,New Delhi,Delhi,LOC000015
PS000016,Seelampur Police Station,Seelampur,New Delhi,Delhi,LOC000016
PS000017,Jamia Nagar Police Station,Jamia Nagar,New Delhi,Delhi,LOC000017
PS000018,Karol Bagh Police Station,Karol Bagh,New Delhi,Delhi,LOC000018
PS000019,Najafgarh Police Station,Najafgarh,New Delhi,Delhi,LOC000019
PS000020,Nangloi Police Station,Nangloi,New Delhi,Delhi,LOC000020
PS000021,Sangam Vihar Police Station,Sangam Vihar,New Delhi,Delhi,LOC000021
PS000022,Paharganj Police Station,Paharganj,New Delhi,Delhi,LOC000022
PS000023,Aminabad Police Station,Aminabad,Lucknow,Uttar Pradesh,LOC000023
PS000024,Chakeri Police Station,Chakeri,Kanpur,Uttar Pradesh,LOC000024
PS000025,Lisari Gate Police Station,Lisari Gate,Meerut,Uttar Pradesh,LOC000025
PS000026,Loni Police Station,Loni,Ghaziabad,Uttar Pradesh,LOC000026
PS000027,Sector 63 Police Station,Sector 63,Noida,Uttar Pradesh,LOC000027
PS000028,Chetganj Police Station,Chetganj,Varanasi,Uttar Pradesh,LOC000028
PS000029,Rajghat Police Station,Rajghat,Gorakhpur,Uttar Pradesh,LOC000029
PS000030,Dhoomanganj Police Station,Dhoomanganj,Prayagraj,Uttar Pradesh,LOC000030
PS000031,Kutba Police Station,Kutba,Muzaffarnagar,Uttar Pradesh,LOC000031
PS000032,Baradari Police Station,Baradari,Bareilly,Uttar Pradesh,LOC000032
PS000033,Sarai Mir Police Station,Sarai Mir,Azamgarh,Uttar Pradesh,LOC000033
PS000034,Line Bazaar Police Station,Line Bazaar,Jaunpur,Uttar Pradesh,LOC000034
PS000035,Kadamkuan Police Station,Kadamkuan,Patna,Bihar,LOC000035
PS000036,Kasim Bazaar Police Station,Kasim Bazaar,Munger,Bihar,LOC000036
PS000037,Mithanpura Police Station,Mithanpura,Muzaffarpur,Bihar,LOC000037
PS000038,Chandauti Police Station,Chandauti,Gaya,Bihar,LOC000038
PS000039,Mahadeva Police Station,Mahadeva,Siwan,Bihar,LOC000039
PS000040,Barauni Police Station,Barauni,Begusarai,Bihar,LOC000040
PS000041,Khajanchi Hat Police Station,Khajanchi Hat,Purnia,Bihar,LOC000041
PS000042,Karmatanr Police Station,Karmatanr,Jamtara,Jharkhand,LOC000042
PS000043,Sarwan Police Station,Sarwan,Deoghar,Jharkhand,LOC000043
PS000044,Jharia Police Station,Jharia,Dhanbad,Jharkhand,LOC000044
PS000045,Hatia Police Station,Hatia,Ranchi,Jharkhand,LOC000045
PS000046,Bengabad Police Station,Bengabad,Giridih,Jharkhand,LOC000046
PS000047,Metiabruz Police Station,Metiabruz,Kolkata,West Bengal,LOC000047
PS000048,Rajabazar Police Station,Rajabazar,Kolkata,West Bengal,LOC000048
PS000049,Kaliachak Police Station,Kaliachak,Malda,West Bengal,LOC000049
PS000050,Jalangi Police Station,Jalangi,Murshidabad,West Bengal,LOC000050
PS000051,Bongaon Police Station,Bongaon,North 24 Parganas,West Bengal,LOC000051
PS000052,Matigara Police Station,Matigara,Siliguri,West Bengal,LOC000052
PS000053,Karimpur Police Station,Karimpur,Nadia,West Bengal,LOC000053
PS000054,Ajnala Police Station,Ajnala,Amritsar,Punjab,LOC000054
PS000055,Khalra Police Station,Khalra,Tarn Taran,Punjab,LOC000055
PS000056,Jamalpur Police Station,Jamalpur,Ludhiana,Punjab,LOC000056
PS000057,Mamdot Police Station,Mamdot,Ferozepur,Punjab,LOC000057
PS000058,Nakodar Police Station,Nakodar,Jalandhar,Punjab,LOC000058
