seizure_id,incident_id,item_category,item,quantity,unit,estimated_value_inr,seized_from_person_id
SZ000001,INC000004,CONTRABAND,Country-made pistols,8,nos,11997744,P000834
SZ000002,INC000004,WEAPON,Improvised explosive material,3,nos,21813,P000834
SZ000003,INC000005,CONTRABAND,Brown sugar,695,grams,293409918,P000172
SZ000004,INC000011,CONTRABAND,Mobile phones,23,nos,1456376474,P000598
SZ000005,INC000011,CASH,Indian currency,6879013,INR,0,P000598
SZ000006,INC000013,WEAPON,SBBL gun,1,nos,236458,P000036
SZ000007,INC000013,CASH,Indian currency,7796497,INR,0,P000036
SZ000008,INC000018,CONTRABAND,Shahtoosh shawls,83.99,kg,565135950,P000871
SZ000009,INC000023,WEAPON,Improvised explosive material,6,nos,225427,P000488
SZ000010,INC000023,CASH,Indian currency,5893807,INR,0,P000488
SZ000011,INC000024,CONTRABAND,Rifle barrels,54,nos,9769375,P000792
SZ000012,INC000024,WEAPON,Machete (chopper),5,nos,229977,P000792
SZ000013,INC000028,CONTRABAND,Rifle barrels,60,nos,14889481,P000629
SZ000014,INC000028,WEAPON,Country-made pistol (katta),5,nos,35318,P000629
SZ000015,INC000033,CONTRABAND,Heroin,3.633,kg,18319726,P000128
SZ000016,INC000034,CASH,Indian currency,13931022,INR,0,P000418
SZ000017,INC000042,WEAPON,.32 bore revolver,3,nos,197074,P000035
SZ000018,INC000044,CASH,Indian currency,19675389,INR,0,P000707
SZ000019,INC000046,CONTRABAND,FICN Rs.500 notes,2153495,INR face value,492401715,P000605
SZ000020,INC000051,CASH,Indian currency,4136558,INR,0,P000981
SZ000021,INC000059,CONTRABAND,Tiger nails,64.53,kg,82784458,P000847
SZ000022,INC000059,CASH,Indian currency,18483005,INR,0,P000847
SZ000023,INC000063,WEAPON,9mm pistol,4,nos,52818,P000406
SZ000024,INC000068,CASH,Indian currency,16634749,INR,0,P000869
SZ000025,INC000070,CASH,Indian currency,15038352,INR,0,P000859
SZ000026,INC000079,WEAPON,.32 bore revolver,2,nos,215686,P000996
SZ000027,INC000081,CASH,Indian currency,5767129,INR,0,P000997
SZ000028,INC000082,CONTRABAND,Tramadol capsules,3.971,kg,408770696,P000103
SZ000029,INC000082,CASH,Indian currency,6253797,INR,0,P000103
SZ000030,INC000084,CASH,Indian currency,10391901,INR,0,P000455
SZ000031,INC000085,CASH,Indian currency,15981132,INR,0,P000952
SZ000032,INC000087,CONTRABAND,Pangolin scales,571.24,kg,393743114,P000863
SZ000033,INC000090,WEAPON,Improvised explosive material,4,nos,217502,P000930
SZ000034,INC000091,CASH,Indian currency,14117300,INR,0,P000913
SZ000035,INC000096,WEAPON,.32 bore revolver,1,nos,188461,P000927
SZ000036,INC000099,CONTRABAND,Live cartridges,29,nos,1909613,P000768
SZ000037,INC000107,CONTRABAND,Chinese firecrackers,11,nos,20538525,P000299
SZ000038,INC000107,CASH,Indian currency,1870476,INR,0,P000299
SZ000039,INC000108,CONTRABAND,Elephant ivory,247.59,kg,575598749,P000874
SZ000040,INC000114,CASH,Indian currency,2327801,INR,0,P000608
SZ000041,INC000116,CONTRABAND,Country-made pistols,19,nos,16070254,P000618
SZ000042,INC000118,CASH,Indian currency,13514390,INR,0,P000177
SZ000043,INC000119,CONTRABAND,Cocaine,617,grams,795781801,P000992
SZ000044,INC000121,CASH,Indian currency,10514660,INR,0,P000691
SZ000045,INC000123,CONTRABAND,Heroin,736,grams,227907472,P000101
SZ000046,INC000124,WEAPON,9mm pistol,5,nos,195817,P000042
SZ000047,INC000125,CASH,Indian currency,6153795,INR,0,P000261
SZ000048,INC000126,WEAPON,SBBL gun,1,nos,282024,P000809
SZ000049,INC000126,CASH,Indian currency,17931183,INR,0,P000809
SZ000050,INC000127,CONTRABAND,Gold biscuits,1,nos,23508621,P000879
SZ000051,INC000130,CASH,Indian currency,18509113,INR,0,P000307
SZ000052,INC000136,CASH,Indian currency,9478400,INR,0,P000353
SZ000053,INC000140,CONTRABAND,Foreign cigarettes,44,nos,1174123073,P000865
SZ000054,INC000141,CONTRABAND,Alprazolam tablets,59,grams,2813932,P000890
SZ000055,INC000142,CONTRABAND,Brown sugar,366,grams,647073112,P000640
SZ000056,INC000145,CONTRABAND,Charas,0.648,kg,7732380,P000110
SZ000057,INC000151,CASH,Indian currency,2660981,INR,0,P000932
SZ000058,INC000152,CONTRABAND,Country-made pistols,26,nos,3693847,P000155
SZ000059,INC000152,WEAPON,Machete (chopper),6,nos,133994,P000155
SZ000060,INC000152,CASH,Indian currency,16956114,INR,0,P000155
SZ000061,INC000154,CONTRABAND,Star tortoises,130.96,kg,471194082,P000871
SZ000062,INC000155,CONTRABAND,Elephant ivory,192.85,kg,168155705,P000872
SZ000063,INC000156,CONTRABAND,Red sanders logs,49.1,kg,401418224,P000914
SZ000064,INC000159,WEAPON,Sword,5,nos,79136,P000901
SZ000065,INC000160,WEAPON,Machete (chopper),6,nos,261510,P000153
SZ000066,INC000164,CASH,Indian currency,7342315,INR,0,P000920
SZ000067,INC000170,WEAPON,.32 bore revolver,6,nos,18061,P000767
SZ000068,INC000170,CASH,Indian currency,3840169,INR,0,P000767
SZ000069,INC000171,CONTRABAND,Intaglio plates,2017022,INR face value,541938512,P000600
SZ000070,INC000175,CASH,Indian currency,19585733,INR,0,P000291
SZ000071,INC000177,CASH,Indian currency,16810891,INR,0,P000184
SZ000072,INC000179,CONTRABAND,Shahtoosh shawls,442.45,kg,34752308,P000879
SZ000073,INC000180,CASH,Indian currency,15565652,INR,0,P000389
SZ000074,INC000182,WEAPON,Country-made pistol (katta),4,nos,106934,P000409
SZ000075,INC000183,WEAPON,AK-series rifle,3,nos,269776,P000095
SZ000076,INC000185,CASH,Indian currency,13265901,INR,0,P000411
SZ000077,INC000193,CONTRABAND,Heroin,2.736,kg,10185986,P000625
SZ000078,INC000196,CONTRABAND,Semi-finished frames,10,nos,17657749,P000097
SZ000079,INC000196,WEAPON,.32 bore revolver,2,nos,57442,P000097
SZ000080,INC000197,CASH,Indian currency,17572156,INR,0,P000965
SZ000081,INC000199,CONTRABAND,Live cartridges,25,nos,17981129,P000781
SZ000082,INC000200,CASH,Indian currency,13672606,INR,0,P000618
SZ000083,INC000204,CASH,Indian currency,5777945,INR,0,P000120
SZ000084,INC000207,CASH,Indian currency,13633601,INR,0,P000244
SZ000085,INC000215,CONTRABAND,Semi-finished frames,48,nos,17502382,P000147
SZ000086,INC000215,CASH,Indian currency,792848,INR,0,P000147
SZ000087,INC000217,WEAPON,Improvised explosive material,5,nos,167101,P000921
SZ000088,INC000218,CASH,Indian currency,11797491,INR,0,P000947
SZ000089,INC000220,WEAPON,Country-made pistol (katta),1,nos,179462,P000820
SZ000090,INC000222,CASH,Indian currency,15230415,INR,0,P000355
SZ000091,INC000226,WEAPON,9mm pistol,3,nos,210489,P000390
SZ000092,INC000234,CONTRABAND,Semi-finished frames,7,nos,16508452,P000100
SZ000093,INC000234,WEAPON,SBBL gun,6,nos,51417,P000100
SZ000094,INC000237,CASH,Indian currency,8367442,INR,0,P000373
SZ000095,INC000239,CASH,Indian currency,13310508,INR,0,P000745
SZ000096,INC000241,CASH,Indian currency,13283597,INR,0,P000880
SZ000097,INC000243,CONTRABAND,Tiger nails,248.68,kg,147759969,P000876
SZ000098,INC000244,WEAPON,Machete (chopper),2,nos,165790,P000899
SZ000099,INC000249,CONTRABAND,Elephant ivory,354.09,kg,530957412,P000847
SZ000100,INC000250,CONTRABAND,Semi-finished frames,17,nos,2836194,P000778
SZ000101,INC000258,CASH,Indian currency,15627374,INR,0,P000848
SZ000102,INC000259,CASH,Indian currency,14537870,INR,0,P000331
SZ000103,INC000263,CASH,Indian currency,14024312,INR,0,P000969
SZ000104,INC000264,WEAPON,Country-made pistol (katta),4,nos,141529,P000026
SZ000105,INC000269,CASH,Indian currency,18741680,INR,0,P000961
SZ000106,INC000270,CONTRABAND,Country-made pistols,22,nos,13392392,P000830
SZ000107,INC000270,CASH,Indian currency,12287039,INR,0,P000830
SZ000108,INC000271,WEAPON,DBBL gun,6,nos,18328,P000038
SZ000109,INC000272,CONTRABAND,Foreign cigarettes,41,nos,1538239663,P000351
